generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78288,49332,1,0.0,0.0,0.5,10.0,6.0,linear
2,77921,49128,1,0.0,0.0,0.5,10.0,6.0,linear
3,79982,50201,1,0.0,0.0,0.5,10.0,6.0,linear
4,80209,50837,1,0.0,0.0,0.5,10.0,6.0,linear
5,78601,49998,1,0.0,0.0,0.5,10.0,6.0,linear
6,76759,49164,1,0.0,0.0,0.5,10.0,6.0,linear
7,77920,49623,1,0.0,0.0,0.5,10.0,6.0,linear
8,79915,50448,1,0.0,0.0,0.5,10.0,6.0,linear
9,79494,50301,1,0.0,0.0,0.5,10.0,6.0,linear
10,78926,50229,1,0.0,0.0,0.5,10.0,6.0,linear
11,138468,49958,1,0.361926,0.361926,0.5,10.0,6.0,linear
12,168483,49772,1,0.474535,0.490792,0.5,10.0,6.0,linear
13,165631,46572,1,0.50233,0.542222,0.5,10.0,6.0,linear
14,161074,41399,1,0.53315,0.603458,0.5,10.0,6.0,linear
15,158877,36667,1,0.559752,0.661549,0.5,10.0,6.0,linear
16,157420,31596,1,0.583777,0.715011,0.5,10.0,6.0,linear
17,156306,26555,1,0.607042,0.762469,0.5,10.0,6.0,linear
18,154605,21925,1,0.627796,0.798069,0.5,10.0,6.0,linear
19,151622,18487,1,0.646324,0.824737,0.5,10.0,6.0,linear
20,147705,15758,1,0.665245,0.847287,0.5,10.0,6.0,linear
21,143515,13212,1,0.685656,0.866443,0.5,10.0,6.0,linear
22,138866,11159,1,0.706368,0.88105,0.5,10.0,6.0,linear
23,133404,9442,1,0.724927,0.894026,0.5,10.0,6.0,linear
24,128761,8025,1,0.745696,0.904687,0.5,10.0,6.0,linear
25,124211,6773,1,0.76594,0.915343,0.5,10.0,6.0,linear
26,120563,5755,1,0.787114,0.926122,0.5,10.0,6.0,linear
27,116551,4794,1,0.80716,0.936981,0.5,10.0,6.0,linear
28,112678,3936,1,0.82861,0.946924,0.5,10.0,6.0,linear
29,109192,3081,1,0.850427,0.957035,0.5,10.0,6.0,linear
30,105704,2449,1,0.870332,0.964906,0.5,10.0,6.0,linear
31,102784,1879,1,0.890534,0.972408,0.5,10.0,6.0,linear
32,100758,1433,1,0.911355,0.978529,0.5,10.0,6.0,linear
33,98237,1043,1,0.927616,0.983901,0.5,10.0,6.0,linear
34,96382,750,1,0.944195,0.988564,0.5,10.0,6.0,linear
35,95195,504,1,0.958491,0.992431,0.5,10.0,6.0,linear
36,94058,333,1,0.969776,0.994921,0.5,10.0,6.0,linear
37,92608,222,1,0.979637,0.997022,0.5,10.0,6.0,linear
38,91707,133,1,0.986333,0.998139,0.5,10.0,6.0,linear
39,91342,87,1,0.991209,0.99867,0.5,10.0,6.0,linear
40,91054,53,1,0.994192,0.99919,0.5,10.0,6.0,linear
41,90835,33,1,0.996336,0.999506,0.5,10.0,6.0,linear
42,90447,21,1,0.997429,0.999724,0.5,10.0,6.0,linear
43,90549,9,1,0.998472,0.999901,0.5,10.0,6.0,linear
44,90736,6,1,0.999223,0.999934,0.5,10.0,6.0,linear
45,90092,0,1,0.999545,1.0,0.5,10.0,6.0,linear

