generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78613,49564,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
2,78666,49544,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
3,79417,50252,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
4,79330,50267,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
5,79081,50162,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
6,78065,49572,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
7,78511,49763,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
8,79566,50452,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
9,79602,50456,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
10,77680,49514,1,0.0,0.0,0.5,0.25,1.85,0.0,6.0,linear
11,88459,49308,1,0.0943192,0.0943192,0.5,0.25,1.85,0.0,6.0,linear
12,95651,50008,1,0.145106,0.155954,0.5,0.25,1.85,0.0,6.0,linear
13,95106,49033,1,0.162141,0.188981,0.5,0.25,1.85,0.0,6.0,linear
14,92195,46461,1,0.183436,0.232286,0.5,0.25,1.85,0.0,6.0,linear
15,90954,44229,1,0.204324,0.275856,0.5,0.25,1.85,0.0,6.0,linear
16,91225,42350,1,0.223042,0.316301,0.5,0.25,1.85,0.0,6.0,linear
17,92139,40528,1,0.239546,0.352063,0.5,0.25,1.85,0.0,6.0,linear
18,93050,39095,1,0.254568,0.383106,0.5,0.25,1.85,0.0,6.0,linear
19,93010,37899,1,0.266887,0.408696,0.5,0.25,1.85,0.0,6.0,linear
20,93399,37072,1,0.275651,0.427469,0.5,0.25,1.85,0.0,6.0,linear
21,93542,36224,1,0.284485,0.445718,0.5,0.25,1.85,0.0,6.0,linear
22,92945,34886,1,0.293552,0.463102,0.5,0.25,1.85,0.0,6.0,linear
23,92794,33987,1,0.300748,0.477252,0.5,0.25,1.85,0.0,6.0,linear
24,91955,32966,1,0.307341,0.490391,0.5,0.25,1.85,0.0,6.0,linear
25,91568,32121,1,0.312002,0.500363,0.5,0.25,1.85,0.0,6.0,linear
26,91368,31415,1,0.317623,0.511572,0.5,0.25,1.85,0.0,6.0,linear
27,90529,30700,1,0.322868,0.520433,0.5,0.25,1.85,0.0,6.0,linear
28,89885,29966,1,0.329411,0.532801,0.5,0.25,1.85,0.0,6.0,linear
29,89239,29271,1,0.333443,0.540562,0.5,0.25,1.85,0.0,6.0,linear
30,88293,28394,1,0.337348,0.547564,0.5,0.25,1.85,0.0,6.0,linear
31,87972,27828,1,0.340848,0.553734,0.5,0.25,1.85,0.0,6.0,linear
