generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
74,33000,1013,1,0.830648,0.956098,0.5,0.15,2.9,0.0,6.0,linear
75,31898,745,1,0.858065,0.965064,0.5,0.15,2.9,0.0,6.0,linear
76,30551,550,1,0.884127,0.973125,0.5,0.15,2.9,0.0,6.0,linear
77,29562,395,1,0.908184,0.9804,0.5,0.15,2.9,0.0,6.0,linear
78,28745,271,1,0.930221,0.985891,0.5,0.15,2.9,0.0,6.0,linear
79,28183,189,1,0.948759,0.990309,0.5,0.15,2.9,0.0,6.0,linear
80,27640,112,1,0.962634,0.993958,0.5,0.15,2.9,0.0,6.0,linear
81,27227,79,1,0.976143,0.995927,0.5,0.15,2.9,0.0,6.0,linear
82,26824,48,1,0.98365,0.997527,0.5,0.15,2.9,0.0,6.0,linear
83,26523,26,1,0.989858,0.998688,0.5,0.15,2.9,0.0,6.0,linear
84,26314,13,1,0.994032,0.999318,0.5,0.15,2.9,0.0,6.0,linear
85,26374,8,1,0.996762,0.999659,0.5,0.15,2.9,0.0,6.0,linear
86,26278,4,1,0.9981,0.999848,0.5,0.15,2.9,0.0,6.0,linear
87,26242,3,1,0.999029,0.999886,0.5,0.15,2.9,0.0,6.0,linear
88,26218,0,1,0.999542,1.0,0.5,0.15,2.9,0.0,6.0,linear

