generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78065,49267,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
2,78458,49466,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
3,80296,50623,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
4,79443,50263,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
5,78306,49960,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
6,78197,50077,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
7,78228,50028,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
8,78063,49909,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
9,78569,50045,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
10,78719,50084,1,0.0,0.0,0.5,0.0005,2.8,0.0,6.0,linear
11,95747,50249,1,0.135527,0.135527,0.5,0.0005,2.8,0.0,6.0,linear
12,103969,50131,1,0.204312,0.216743,0.5,0.0005,2.8,0.0,6.0,linear
13,102352,48571,1,0.226783,0.258624,0.5,0.0005,2.8,0.0,6.0,linear
14,98358,45179,1,0.250563,0.307057,0.5,0.0005,2.8,0.0,6.0,linear
15,97178,42401,1,0.276223,0.362309,0.5,0.0005,2.8,0.0,6.0,linear
16,97598,39731,1,0.300051,0.413743,0.5,0.0005,2.8,0.0,6.0,linear
17,98812,37325,1,0.319659,0.456071,0.5,0.0005,2.8,0.0,6.0,linear
18,98514,34848,1,0.335852,0.491904,0.5,0.0005,2.8,0.0,6.0,linear
19,98474,33145,1,0.347944,0.517237,0.5,0.0005,2.8,0.0,6.0,linear
20,98698,31748,1,0.359242,0.538238,0.5,0.0005,2.8,0.0,6.0,linear
21,97673,30414,1,0.36673,0.554141,0.5,0.0005,2.8,0.0,6.0,linear
22,97667,29422,1,0.372308,0.565927,0.5,0.0005,2.8,0.0,6.0,linear
23,97048,28579,1,0.377147,0.574468,0.5,0.0005,2.8,0.0,6.0,linear
24,96195,27882,1,0.382159,0.584549,0.5,0.0005,2.8,0.0,6.0,linear
25,95291,27006,1,0.387216,0.594179,0.5,0.0005,2.8,0.0,6.0,linear
26,94756,26217,1,0.391217,0.59911,0.5,0.0005,2.8,0.0,6.0,linear
27,94520,25877,1,0.39394,0.604556,0.5,0.0005,2.8,0.0,6.0,linear
28,93772,25290,1,0.398289,0.611839,0.5,0.0005,2.8,0.0,6.0,linear
29,93081,24524,1,0.403152,0.61925,0.5,0.0005,2.8,0.0,6.0,linear
30,92909,24232,1,0.406028,0.623523,0.5,0.0005,2.8,0.0,6.0,linear
31,91952,23870,1,0.407443,0.626912,0.5,0.0005,2.8,0.0,6.0,linear
32,91134,23354,1,0.409522,0.629953,0.5,0.0005,2.8,0.0,6.0,linear
33,90394,22946,1,0.412463,0.635003,0.5,0.0005,2.8,0.0,6.0,linear
34,89806,22439,1,0.414499,0.638261,0.5,0.0005,2.8,0.0,6.0,linear
35,89243,22225,1,0.415831,0.640308,0.5,0.0005,2.8,0.0,6.0,linear
36,88848,21912,1,0.417812,0.64124,0.5,0.0005,2.8,0.0,6.0,linear
37,88567,21902,1,0.418222,0.642216,0.5,0.0005,2.8,0.0,6.0,linear
38,88264,21714,1,0.418731,0.642626,0.5,0.0005,2.8,0.0,6.0,linear
39,87765,21431,1,0.419847,0.644894,0.5,0.0005,2.8,0.0,6.0,linear
40,88075,21476,1,0.42148,0.646442,0.5,0.0005,2.8,0.0,6.0,linear
41,87645,21305,1,0.423667,0.650219,0.5,0.0005,2.8,0.0,6.0,linear
42,87227,21003,1,0.423647,0.650146,0.5,0.0005,2.8,0.0,6.0,linear
43,86822,20797,1,0.42422,0.651705,0.5,0.0005,2.8,0.0,6.0,linear
44,86486,20595,1,0.427132,0.65439,0.5,0.0005,2.8,0.0,6.0,linear
45,85868,20420,1,0.428292,0.656475,0.5,0.0005,2.8,0.0,6.0,linear
46,85973,20292,1,0.430494,0.658374,0.5,0.0005,2.8,0.0,6.0,linear
47,85400,20131,1,0.429169,0.657893,0.5,0.0005,2.8,0.0,6.0,linear
48,85257,20190,1,0.429046,0.657263,0.5,0.0005,2.8,0.0,6.0,linear
49,85046,20054,1,0.429507,0.657268,0.5,0.0005,2.8,0.0,6.0,linear
50,85143,20173,1,0.42951,0.656649,0.5,0.0005,2.8,0.0,6.0,linear
51,85168,20176,1,0.430079,0.658657,0.5,0.0005,2.8,0.0,6.0,linear
52,85731,20249,1,0.430864,0.659253,0.5,0.0005,2.8,0.0,6.0,linear
53,85481,19993,1,0.432066,0.662377,0.5,0.0005,2.8,0.0,6.0,linear
54,85500,20113,1,0.431103,0.660427,0.5,0.0005,2.8,0.0,6.0,linear
55,85048,19917,1,0.431117,0.66181,0.5,0.0005,2.8,0.0,6.0,linear
56,85420,19866,1,0.432619,0.662314,0.5,0.0005,2.8,0.0,6.0,linear
57,85545,19939,1,0.430687,0.659319,0.5,0.0005,2.8,0.0,6.0,linear
58,85636,20033,1,0.431095,0.659192,0.5,0.0005,2.8,0.0,6.0,linear
59,85289,20061,1,0.430593,0.65869,0.5,0.0005,2.8,0.0,6.0,linear
60,85350,20149,1,0.433185,0.663313,0.5,0.0005,2.8,0.0,6.0,linear
61,85082,19823,1,0.43476,0.664998,0.5,0.0005,2.8,0.0,6.0,linear
62,84907,19696,1,0.433692,0.664186,0.5,0.0005,2.8,0.0,6.0,linear
63,84475,19537,1,0.43128,0.660239,0.5,0.0005,2.8,0.0,6.0,linear
64,84764,19663,1,0.430938,0.658042,0.5,0.0005,2.8,0.0,6.0,linear
65,84897,19724,1,0.431251,0.658484,0.5,0.0005,2.8,0.0,6.0,linear
66,84511,19553,1,0.432649,0.660845,0.5,0.0005,2.8,0.0,6.0,linear
67,84555,19672,1,0.43259,0.660778,0.5,0.0005,2.8,0.0,6.0,linear
68,84677,19696,1,0.431956,0.660275,0.5,0.0005,2.8,0.0,6.0,linear
69,84716,19655,1,0.431274,0.660087,0.5,0.0005,2.8,0.0,6.0,linear
70,84324,19705,1,0.429956,0.657576,0.5,0.0005,2.8,0.0,6.0,linear
