generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78480,49447,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
2,78601,49321,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
3,79947,50244,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
4,80607,50996,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
5,79771,51014,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
6,77052,49753,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
7,76604,49197,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
8,77769,49344,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
9,79398,50086,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
10,80310,50621,1,0.0,0.0,0.5,0.0792,4.15,0.0,6.0,linear
11,104635,50663,1,0.188623,0.188623,0.5,0.0792,4.15,0.0,6.0,linear
12,115040,49782,1,0.275219,0.289237,0.5,0.0792,4.15,0.0,6.0,linear
13,112342,47326,1,0.301835,0.338964,0.5,0.0792,4.15,0.0,6.0,linear
14,108934,43565,1,0.329343,0.398029,0.5,0.0792,4.15,0.0,6.0,linear
15,108742,40557,1,0.356078,0.455331,0.5,0.0792,4.15,0.0,6.0,linear
16,109023,37223,1,0.381238,0.51019,0.5,0.0792,4.15,0.0,6.0,linear
17,109230,34013,1,0.402361,0.555547,0.5,0.0792,4.15,0.0,6.0,linear
18,108883,31318,1,0.420033,0.592775,0.5,0.0792,4.15,0.0,6.0,linear
19,108320,29061,1,0.434253,0.620127,0.5,0.0792,4.15,0.0,6.0,linear
20,106950,27153,1,0.443938,0.639661,0.5,0.0792,4.15,0.0,6.0,linear
21,105916,25373,1,0.454452,0.657449,0.5,0.0792,4.15,0.0,6.0,linear
22,104656,23807,1,0.463074,0.671287,0.5,0.0792,4.15,0.0,6.0,linear
23,103394,22745,1,0.47017,0.682557,0.5,0.0792,4.15,0.0,6.0,linear
24,101261,21519,1,0.476434,0.692853,0.5,0.0792,4.15,0.0,6.0,linear
25,99686,20450,1,0.482589,0.701088,0.5,0.0792,4.15,0.0,6.0,linear
26,98396,19647,1,0.490302,0.709901,0.5,0.0792,4.15,0.0,6.0,linear
27,96928,18714,1,0.496341,0.717484,0.5,0.0792,4.15,0.0,6.0,linear
28,95233,17938,1,0.503249,0.726091,0.5,0.0792,4.15,0.0,6.0,linear
29,93438,17042,1,0.508078,0.731666,0.5,0.0792,4.15,0.0,6.0,linear
30,92326,16427,1,0.513671,0.7369,0.5,0.0792,4.15,0.0,6.0,linear
31,90902,15872,1,0.518829,0.743572,0.5,0.0792,4.15,0.0,6.0,linear
32,89097,15040,1,0.525292,0.750453,0.5,0.0792,4.15,0.0,6.0,linear
33,87999,14621,1,0.529072,0.751489,0.5,0.0792,4.15,0.0,6.0,linear
34,86615,14154,1,0.534332,0.755635,0.5,0.0792,4.15,0.0,6.0,linear
35,84924,13679,1,0.536448,0.758479,0.5,0.0792,4.15,0.0,6.0,linear
36,84284,13259,1,0.541842,0.762003,0.5,0.0792,4.15,0.0,6.0,linear
37,83144,12781,1,0.54685,0.768664,0.5,0.0792,4.15,0.0,6.0,linear
38,82415,12388,1,0.55203,0.774497,0.5,0.0792,4.15,0.0,6.0,linear
