generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78132,49042,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
2,78084,49170,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
3,79061,49887,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
4,80127,50349,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
5,79099,49901,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
6,79062,50144,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
7,78983,50327,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
8,78303,49944,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
9,77381,49368,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
10,78226,49793,1,0.0,0.0,0.5,0.00315,4.6,0.0,6.0,linear
11,107089,50190,1,0.203556,0.203556,0.5,0.00315,4.6,0.0,6.0,linear
12,121135,50428,1,0.294108,0.309311,0.5,0.00315,4.6,0.0,6.0,linear
13,118033,47842,1,0.321908,0.360409,0.5,0.00315,4.6,0.0,6.0,linear
14,114226,44022,1,0.3528,0.420332,0.5,0.00315,4.6,0.0,6.0,linear
15,112136,40099,1,0.37977,0.480278,0.5,0.00315,4.6,0.0,6.0,linear
16,112288,36760,1,0.402125,0.531361,0.5,0.00315,4.6,0.0,6.0,linear
17,112175,33106,1,0.424696,0.579824,0.5,0.00315,4.6,0.0,6.0,linear
18,111529,29908,1,0.442472,0.617401,0.5,0.00315,4.6,0.0,6.0,linear
19,111027,27562,1,0.456303,0.644443,0.5,0.00315,4.6,0.0,6.0,linear
20,109947,25597,1,0.468954,0.66696,0.5,0.00315,4.6,0.0,6.0,linear
21,108423,23757,1,0.479593,0.68336,0.5,0.00315,4.6,0.0,6.0,linear
22,106475,22289,1,0.489838,0.699472,0.5,0.00315,4.6,0.0,6.0,linear
23,104537,20823,1,0.497704,0.710678,0.5,0.00315,4.6,0.0,6.0,linear
24,102830,19750,1,0.506558,0.721415,0.5,0.00315,4.6,0.0,6.0,linear
25,100677,18610,1,0.514224,0.732857,0.5,0.00315,4.6,0.0,6.0,linear
26,98952,17482,1,0.522286,0.742382,0.5,0.00315,4.6,0.0,6.0,linear
27,97282,16542,1,0.528752,0.74998,0.5,0.00315,4.6,0.0,6.0,linear
28,95684,15672,1,0.536257,0.757048,0.5,0.00315,4.6,0.0,6.0,linear
29,93410,14888,1,0.542607,0.764019,0.5,0.00315,4.6,0.0,6.0,linear
30,91429,13985,1,0.550242,0.771642,0.5,0.00315,4.6,0.0,6.0,linear
31,89941,13301,1,0.559618,0.78004,0.5,0.00315,4.6,0.0,6.0,linear
32,87726,12367,1,0.566879,0.788478,0.5,0.00315,4.6,0.0,6.0,linear
33,86260,11775,1,0.57467,0.793797,0.5,0.00315,4.6,0.0,6.0,linear
34,84144,11093,1,0.583445,0.801537,0.5,0.00315,4.6,0.0,6.0,linear
35,82127,10470,1,0.591962,0.810396,0.5,0.00315,4.6,0.0,6.0,linear
36,80488,9755,1,0.602498,0.819081,0.5,0.00315,4.6,0.0,6.0,linear
37,78621,9152,1,0.612078,0.827241,0.5,0.00315,4.6,0.0,6.0,linear
38,76683,8538,1,0.621626,0.834516,0.5,0.00315,4.6,0.0,6.0,linear
39,74839,7842,1,0.630791,0.841322,0.5,0.00315,4.6,0.0,6.0,linear
40,72995,7326,1,0.642137,0.847935,0.5,0.00315,4.6,0.0,6.0,linear
41,71033,6720,1,0.652811,0.854441,0.5,0.00315,4.6,0.0,6.0,linear
42,69413,6187,1,0.666249,0.8619,0.5,0.00315,4.6,0.0,6.0,linear
43,67537,5797,1,0.677556,0.87106,0.5,0.00315,4.6,0.0,6.0,linear
44,65926,5130,1,0.691036,0.879545,0.5,0.00315,4.6,0.0,6.0,linear
45,63725,4549,1,0.706182,0.88913,0.5,0.00315,4.6,0.0,6.0,linear
46,62266,4147,1,0.721791,0.897216,0.5,0.00315,4.6,0.0,6.0,linear
47,60485,3685,1,0.738944,0.90496,0.5,0.00315,4.6,0.0,6.0,linear
48,58148,3235,1,0.754356,0.915602,0.5,0.00315,4.6,0.0,6.0,linear
49,56572,2728,1,0.773622,0.924343,0.5,0.00315,4.6,0.0,6.0,linear
50,54711,2353,1,0.792017,0.932188,0.5,0.00315,4.6,0.0,6.0,linear
51,52911,1945,1,0.812299,0.941425,0.5,0.00315,4.6,0.0,6.0,linear
52,51275,1598,1,0.836611,0.950091,0.5,0.00315,4.6,0.0,6.0,linear
53,49801,1303,1,0.854712,0.959176,0.5,0.00315,4.6,0.0,6.0,linear
54,48553,1056,1,0.876229,0.965955,0.5,0.00315,4.6,0.0,6.0,linear
55,47371,871,1,0.892988,0.9725,0.5,0.00315,4.6,0.0,6.0,linear
56,46114,664,1,0.909048,0.978474,0.5,0.00315,4.6,0.0,6.0,linear
57,45262,478,1,0.927399,0.984032,0.5,0.00315,4.6,0.0,6.0,linear
58,44360,343,1,0.943354,0.988634,0.5,0.00315,4.6,0.0,6.0,linear
59,43800,238,1,0.957704,0.991837,0.5,0.00315,4.6,0.0,6.0,linear
60,43102,160,1,0.969528,0.994758,0.5,0.00315,4.6,0.0,6.0,linear
61,42703,101,1,0.978109,0.996929,0.5,0.00315,4.6,0.0,6.0,linear
62,42109,57,1,0.985506,0.998421,0.5,0.00315,4.6,0.0,6.0,linear
63,41890,32,1,0.990803,0.999121,0.5,0.00315,4.6,0.0,6.0,linear
64,41738,18,1,0.995062,0.999546,0.5,0.00315,4.6,0.0,6.0,linear
65,41854,11,1,0.997292,0.999738,0.5,0.00315,4.6,0.0,6.0,linear
66,41600,4,1,0.998356,0.999904,0.5,0.00315,4.6,0.0,6.0,linear
67,41480,1,1,0.999108,0.999976,0.5,0.00315,4.6,0.0,6.0,linear
68,41493,1,1,0.999494,0.999976,0.5,0.00315,4.6,0.0,6.0,linear
69,41565,0,1,0.99982,1.0,0.5,0.00315,4.6,0.0,6.0,linear

