generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78385,49193,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
2,78632,49205,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
3,78993,49771,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
4,79716,50467,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
5,79502,50581,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
6,78699,50359,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
7,76643,49251,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
8,78525,49888,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
9,78624,49770,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
10,79273,50110,1,0.0,0.0,0.5,0.000792,4.6,0.0,6.0,linear
11,106803,50011,1,0.205804,0.205804,0.5,0.000792,4.6,0.0,6.0,linear
12,120339,49929,1,0.295504,0.310496,0.5,0.000792,4.6,0.0,6.0,linear
13,117776,47502,1,0.320936,0.358564,0.5,0.000792,4.6,0.0,6.0,linear
14,114459,43829,1,0.348944,0.416077,0.5,0.000792,4.6,0.0,6.0,linear
15,112980,40392,1,0.375654,0.474147,0.5,0.000792,4.6,0.0,6.0,linear
16,112083,36421,1,0.40177,0.529705,0.5,0.000792,4.6,0.0,6.0,linear
17,112487,33355,1,0.422848,0.576239,0.5,0.000792,4.6,0.0,6.0,linear
18,111844,30271,1,0.439746,0.612599,0.5,0.000792,4.6,0.0,6.0,linear
19,111632,27887,1,0.456507,0.644521,0.5,0.000792,4.6,0.0,6.0,linear
20,110444,25734,1,0.467783,0.664661,0.5,0.000792,4.6,0.0,6.0,linear
21,108715,23979,1,0.478297,0.682522,0.5,0.000792,4.6,0.0,6.0,linear
22,106767,22351,1,0.488215,0.697773,0.5,0.000792,4.6,0.0,6.0,linear
23,104433,20886,1,0.498062,0.713406,0.5,0.000792,4.6,0.0,6.0,linear
24,102591,19635,1,0.505961,0.723573,0.5,0.000792,4.6,0.0,6.0,linear
25,100624,18449,1,0.514286,0.733878,0.5,0.000792,4.6,0.0,6.0,linear
26,98747,17310,1,0.522293,0.742434,0.5,0.000792,4.6,0.0,6.0,linear
27,96491,16497,1,0.529051,0.748598,0.5,0.000792,4.6,0.0,6.0,linear
28,94859,15707,1,0.538034,0.75758,0.5,0.000792,4.6,0.0,6.0,linear
29,92975,14757,1,0.54497,0.765529,0.5,0.000792,4.6,0.0,6.0,linear
30,91273,13962,1,0.552417,0.772146,0.5,0.000792,4.6,0.0,6.0,linear
31,89347,13226,1,0.560313,0.781085,0.5,0.000792,4.6,0.0,6.0,linear
32,87714,12514,1,0.56852,0.789632,0.5,0.000792,4.6,0.0,6.0,linear
33,85742,11733,1,0.576707,0.795243,0.5,0.000792,4.6,0.0,6.0,linear
34,83975,11068,1,0.583748,0.80218,0.5,0.000792,4.6,0.0,6.0,linear
35,82383,10526,1,0.592388,0.809647,0.5,0.000792,4.6,0.0,6.0,linear
36,80246,9873,1,0.59876,0.814455,0.5,0.000792,4.6,0.0,6.0,linear
37,78727,9435,1,0.605913,0.819572,0.5,0.000792,4.6,0.0,6.0,linear
38,77442,8875,1,0.61564,0.825975,0.5,0.000792,4.6,0.0,6.0,linear
39,76138,8299,1,0.625567,0.83345,0.5,0.000792,4.6,0.0,6.0,linear
40,73649,7697,1,0.634596,0.840589,0.5,0.000792,4.6,0.0,6.0,linear
41,72294,7191,1,0.644091,0.8474,0.5,0.000792,4.6,0.0,6.0,linear
42,70556,6648,1,0.654911,0.853873,0.5,0.000792,4.6,0.0,6.0,linear
43,68873,6235,1,0.664377,0.858879,0.5,0.000792,4.6,0.0,6.0,linear
44,67338,5806,1,0.675944,0.866685,0.5,0.000792,4.6,0.0,6.0,linear
45,65812,5333,1,0.68938,0.877022,0.5,0.000792,4.6,0.0,6.0,linear
46,64308,4871,1,0.702608,0.887587,0.5,0.000792,4.6,0.0,6.0,linear
47,62779,4249,1,0.716994,0.896407,0.5,0.000792,4.6,0.0,6.0,linear
48,60602,3769,1,0.733217,0.90451,0.5,0.000792,4.6,0.0,6.0,linear
49,59103,3282,1,0.75138,0.912576,0.5,0.000792,4.6,0.0,6.0,linear
50,57214,2854,1,0.770385,0.922272,0.5,0.000792,4.6,0.0,6.0,linear
51,55323,2363,1,0.79027,0.931564,0.5,0.000792,4.6,0.0,6.0,linear
