generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,77810,48837,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
2,78018,48797,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
3,80048,50133,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
4,81499,51100,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
5,79258,50198,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
6,76457,49160,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
7,78001,49960,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
8,79949,50832,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
9,78550,49926,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
10,76406,49056,1,0.0,0.0,0.5,0.1,2.0,0.0,6.0,linear
11,90121,50002,1,0.0995672,0.0995672,0.5,0.1,2.0,0.0,6.0,linear
12,98412,51049,1,0.153971,0.164576,0.5,0.1,2.0,0.0,6.0,linear
13,95284,48863,1,0.17539,0.202733,0.5,0.1,2.0,0.0,6.0,linear
14,90807,45623,1,0.198019,0.248355,0.5,0.1,2.0,0.0,6.0,linear
15,90512,43509,1,0.219186,0.294009,0.5,0.1,2.0,0.0,6.0,linear
16,92358,41962,1,0.23737,0.335449,0.5,0.1,2.0,0.0,6.0,linear
17,93551,39855,1,0.254533,0.371069,0.5,0.1,2.0,0.0,6.0,linear
18,93377,38163,1,0.268976,0.402329,0.5,0.1,2.0,0.0,6.0,linear
19,93812,37224,1,0.277281,0.421772,0.5,0.1,2.0,0.0,6.0,linear
20,94061,36392,1,0.287281,0.442212,0.5,0.1,2.0,0.0,6.0,linear
21,94076,35488,1,0.295858,0.459058,0.5,0.1,2.0,0.0,6.0,linear
22,93393,34255,1,0.302462,0.47237,0.5,0.1,2.0,0.0,6.0,linear
23,93500,33304,1,0.309342,0.486167,0.5,0.1,2.0,0.0,6.0,linear
24,92952,32489,1,0.31651,0.498644,0.5,0.1,2.0,0.0,6.0,linear
25,92390,31731,1,0.320082,0.506577,0.5,0.1,2.0,0.0,6.0,linear
26,91962,30967,1,0.326063,0.51845,0.5,0.1,2.0,0.0,6.0,linear
27,91829,30302,1,0.328905,0.523609,0.5,0.1,2.0,0.0,6.0,linear
28,91100,29648,1,0.332524,0.530367,0.5,0.1,2.0,0.0,6.0,linear
29,90279,29317,1,0.334015,0.533829,0.5,0.1,2.0,0.0,6.0,linear
30,90155,28913,1,0.338042,0.540505,0.5,0.1,2.0,0.0,6.0,linear
31,89844,28615,1,0.34007,0.544198,0.5,0.1,2.0,0.0,6.0,linear
32,89785,28399,1,0.342451,0.549564,0.5,0.1,2.0,0.0,6.0,linear
33,89102,27825,1,0.343754,0.551541,0.5,0.1,2.0,0.0,6.0,linear
34,88742,27514,1,0.345873,0.555344,0.5,0.1,2.0,0.0,6.0,linear
35,88549,27244,1,0.347385,0.557685,0.5,0.1,2.0,0.0,6.0,linear
36,88579,27126,1,0.349287,0.560874,0.5,0.1,2.0,0.0,6.0,linear
37,87943,26880,1,0.35037,0.561601,0.5,0.1,2.0,0.0,6.0,linear
38,87793,26689,1,0.350065,0.562089,0.5,0.1,2.0,0.0,6.0,linear
39,87489,26512,1,0.349848,0.562722,0.5,0.1,2.0,0.0,6.0,linear
40,87909,26572,1,0.351425,0.565205,0.5,0.1,2.0,0.0,6.0,linear
41,87482,26265,1,0.353157,0.567052,0.5,0.1,2.0,0.0,6.0,linear
42,86848,26126,1,0.353054,0.567182,0.5,0.1,2.0,0.0,6.0,linear
43,86791,26227,1,0.352552,0.566865,0.5,0.1,2.0,0.0,6.0,linear
44,87482,26279,1,0.353801,0.568951,0.5,0.1,2.0,0.0,6.0,linear
45,87547,26062,1,0.356442,0.572984,0.5,0.1,2.0,0.0,6.0,linear
46,87074,25823,1,0.356794,0.574925,0.5,0.1,2.0,0.0,6.0,linear
47,86886,25746,1,0.35659,0.573391,0.5,0.1,2.0,0.0,6.0,linear
48,86356,25675,1,0.355961,0.572901,0.5,0.1,2.0,0.0,6.0,linear
49,86034,25862,1,0.355734,0.573187,0.5,0.1,2.0,0.0,6.0,linear
