generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78138,49056,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
2,78383,49208,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
3,79914,50163,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
4,79524,50283,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
5,78873,50126,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
6,78608,50229,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
7,79286,50515,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
8,78250,49864,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
9,77281,49541,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
10,78222,49927,1,0.0,0.0,0.5,0.000126,5.35,0.0,6.0,linear
11,111983,50567,1,0.229192,0.229192,0.5,0.000126,5.35,0.0,6.0,linear
12,127587,50460,1,0.326368,0.34178,0.5,0.000126,5.35,0.0,6.0,linear
13,123767,47493,1,0.354583,0.392045,0.5,0.000126,5.35,0.0,6.0,linear
14,119076,43096,1,0.3839,0.453338,0.5,0.000126,5.35,0.0,6.0,linear
15,118349,39216,1,0.411081,0.514753,0.5,0.000126,5.35,0.0,6.0,linear
16,119013,35602,1,0.43643,0.570533,0.5,0.000126,5.35,0.0,6.0,linear
17,118266,31447,1,0.459288,0.619916,0.5,0.000126,5.35,0.0,6.0,linear
18,117375,28226,1,0.478291,0.657956,0.5,0.000126,5.35,0.0,6.0,linear
19,116276,25532,1,0.493807,0.685592,0.5,0.000126,5.35,0.0,6.0,linear
20,114886,23427,1,0.506792,0.70695,0.5,0.000126,5.35,0.0,6.0,linear
21,113008,21659,1,0.520111,0.725904,0.5,0.000126,5.35,0.0,6.0,linear
22,110240,19653,1,0.532122,0.742635,0.5,0.000126,5.35,0.0,6.0,linear
23,107777,18158,1,0.541814,0.755121,0.5,0.000126,5.35,0.0,6.0,linear
24,105335,16866,1,0.55117,0.76549,0.5,0.000126,5.35,0.0,6.0,linear
25,102839,15641,1,0.561548,0.77675,0.5,0.000126,5.35,0.0,6.0,linear
26,100124,14376,1,0.571589,0.787629,0.5,0.000126,5.35,0.0,6.0,linear
27,97791,13272,1,0.582639,0.797312,0.5,0.000126,5.35,0.0,6.0,linear
28,95254,12256,1,0.593283,0.806514,0.5,0.000126,5.35,0.0,6.0,linear
29,92430,11244,1,0.602331,0.81334,0.5,0.000126,5.35,0.0,6.0,linear
30,90349,10636,1,0.612712,0.819816,0.5,0.000126,5.35,0.0,6.0,linear
31,87972,9963,1,0.62241,0.82961,0.5,0.000126,5.35,0.0,6.0,linear
32,86102,9104,1,0.63533,0.840928,0.5,0.000126,5.35,0.0,6.0,linear
33,83948,8324,1,0.646806,0.848678,0.5,0.000126,5.35,0.0,6.0,linear
34,81376,7589,1,0.659261,0.857734,0.5,0.000126,5.35,0.0,6.0,linear
35,79203,6761,1,0.674153,0.867184,0.5,0.000126,5.35,0.0,6.0,linear
36,76721,6085,1,0.689988,0.877645,0.5,0.000126,5.35,0.0,6.0,linear
37,74331,5434,1,0.705674,0.885735,0.5,0.000126,5.35,0.0,6.0,linear
38,71694,4874,1,0.720374,0.894943,0.5,0.000126,5.35,0.0,6.0,linear
39,69858,4219,1,0.738828,0.904481,0.5,0.000126,5.35,0.0,6.0,linear
40,67739,3719,1,0.759096,0.913853,0.5,0.000126,5.35,0.0,6.0,linear
41,65249,3189,1,0.777856,0.924088,0.5,0.000126,5.35,0.0,6.0,linear
42,63164,2703,1,0.79622,0.933566,0.5,0.000126,5.35,0.0,6.0,linear
43,61666,2252,1,0.814528,0.942983,0.5,0.000126,5.35,0.0,6.0,linear
44,60034,1837,1,0.83496,0.952,0.5,0.000126,5.35,0.0,6.0,linear
45,58316,1434,1,0.857702,0.961944,0.5,0.000126,5.35,0.0,6.0,linear
46,56324,1111,1,0.881208,0.970226,0.5,0.000126,5.35,0.0,6.0,linear
47,54663,825,1,0.905021,0.977204,0.5,0.000126,5.35,0.0,6.0,linear
48,53230,597,1,0.923495,0.982341,0.5,0.000126,5.35,0.0,6.0,linear
49,52143,489,1,0.94059,0.985525,0.5,0.000126,5.35,0.0,6.0,linear
50,51182,355,1,0.95248,0.988581,0.5,0.000126,5.35,0.0,6.0,linear
51,50318,264,1,0.963373,0.991647,0.5,0.000126,5.35,0.0,6.0,linear
52,49904,191,1,0.972256,0.994392,0.5,0.000126,5.35,0.0,6.0,linear
53,49359,130,1,0.97907,0.996565,0.5,0.000126,5.35,0.0,6.0,linear
54,48911,68,1,0.985535,0.998237,0.5,0.000126,5.35,0.0,6.0,linear
55,48723,41,1,0.990559,0.99904,0.5,0.000126,5.35,0.0,6.0,linear
56,48590,25,1,0.993868,0.999405,0.5,0.000126,5.35,0.0,6.0,linear
57,48394,9,1,0.996494,0.999773,0.5,0.000126,5.35,0.0,6.0,linear
58,48237,5,1,0.998342,0.999896,0.5,0.000126,5.35,0.0,6.0,linear
59,48224,3,1,0.999222,0.999938,0.5,0.000126,5.35,0.0,6.0,linear
60,48087,2,1,0.999615,0.999958,0.5,0.000126,5.35,0.0,6.0,linear
61,48101,0,1,0.999834,1.0,0.5,0.000126,5.35,0.0,6.0,linear

