generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78286,49176,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
2,77954,49049,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
3,79101,49758,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
4,80497,50566,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
5,79877,50494,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
6,77719,49704,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
7,77282,49338,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
8,79318,50199,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
9,79716,50156,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
10,78177,49645,1,0.0,0.0,0.5,0.4,0.95,0.0,6.0,linear
11,83366,49499,1,0.0517006,0.0517006,0.5,0.4,0.95,0.0,6.0,linear
12,87296,50148,1,0.0817416,0.0885282,0.5,0.4,0.95,0.0,6.0,linear
13,86606,49315,1,0.0922752,0.11004,0.5,0.4,0.95,0.0,6.0,linear
14,84869,47471,1,0.106715,0.138467,0.5,0.4,0.95,0.0,6.0,linear
15,84489,46425,1,0.120012,0.166736,0.5,0.4,0.95,0.0,6.0,linear
16,86040,45850,1,0.132029,0.191992,0.5,0.4,0.95,0.0,6.0,linear
17,86550,44950,1,0.142777,0.214587,0.5,0.4,0.95,0.0,6.0,linear
18,87120,44173,1,0.153103,0.236171,0.5,0.4,0.95,0.0,6.0,linear
19,86825,43384,1,0.162319,0.255154,0.5,0.4,0.95,0.0,6.0,linear
20,88131,43085,1,0.170676,0.272109,0.5,0.4,0.95,0.0,6.0,linear
21,88607,42760,1,0.176352,0.285051,0.5,0.4,0.95,0.0,6.0,linear
22,88829,42327,1,0.18234,0.297828,0.5,0.4,0.95,0.0,6.0,linear
23,88157,41500,1,0.187746,0.308774,0.5,0.4,0.95,0.0,6.0,linear
24,88252,41087,1,0.193824,0.320118,0.5,0.4,0.95,0.0,6.0,linear
25,88488,40677,1,0.198478,0.329723,0.5,0.4,0.95,0.0,6.0,linear
26,88008,39963,1,0.203526,0.340079,0.5,0.4,0.95,0.0,6.0,linear
27,88350,39679,1,0.207184,0.347768,0.5,0.4,0.95,0.0,6.0,linear
28,88366,39332,1,0.211515,0.356583,0.5,0.4,0.95,0.0,6.0,linear
29,88331,39018,1,0.214541,0.363222,0.5,0.4,0.95,0.0,6.0,linear
30,88372,38745,1,0.218001,0.369476,0.5,0.4,0.95,0.0,6.0,linear
31,88277,38367,1,0.221045,0.37596,0.5,0.4,0.95,0.0,6.0,linear
32,88347,37897,1,0.224232,0.38207,0.5,0.4,0.95,0.0,6.0,linear
33,87912,37463,1,0.228134,0.390426,0.5,0.4,0.95,0.0,6.0,linear
34,87825,37054,1,0.229903,0.395026,0.5,0.4,0.95,0.0,6.0,linear
35,87375,36533,1,0.232072,0.398879,0.5,0.4,0.95,0.0,6.0,linear
36,87529,36443,1,0.235314,0.404239,0.5,0.4,0.95,0.0,6.0,linear
37,87120,36171,1,0.236464,0.407208,0.5,0.4,0.95,0.0,6.0,linear
38,87057,36119,1,0.238204,0.410672,0.5,0.4,0.95,0.0,6.0,linear
39,86774,35794,1,0.240712,0.415874,0.5,0.4,0.95,0.0,6.0,linear
40,87006,35382,1,0.24288,0.420139,0.5,0.4,0.95,0.0,6.0,linear
41,86520,35148,1,0.243795,0.421756,0.5,0.4,0.95,0.0,6.0,linear
42,86259,34960,1,0.246463,0.426219,0.5,0.4,0.95,0.0,6.0,linear
43,86227,34774,1,0.248031,0.429999,0.5,0.4,0.95,0.0,6.0,linear
44,86335,34511,1,0.250506,0.434886,0.5,0.4,0.95,0.0,6.0,linear
45,85990,34078,1,0.252211,0.437328,0.5,0.4,0.95,0.0,6.0,linear
46,85665,33751,1,0.254387,0.441618,0.5,0.4,0.95,0.0,6.0,linear
47,85451,33546,1,0.254352,0.441953,0.5,0.4,0.95,0.0,6.0,linear
48,85277,33431,1,0.25519,0.443271,0.5,0.4,0.95,0.0,6.0,linear
49,85249,33245,1,0.255415,0.444747,0.5,0.4,0.95,0.0,6.0,linear
50,85101,33248,1,0.256164,0.446409,0.5,0.4,0.95,0.0,6.0,linear
51,85188,33130,1,0.25763,0.448515,0.5,0.4,0.95,0.0,6.0,linear
52,85264,33221,1,0.257843,0.449088,0.5,0.4,0.95,0.0,6.0,linear
