generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
74,74529,15459,1,0.461641,0.696424,0.5,0.325,2.75,0.0,6.0,linear
75,74610,15396,1,0.465141,0.701033,0.5,0.325,2.75,0.0,6.0,linear
76,73779,15123,1,0.464737,0.699637,0.5,0.325,2.75,0.0,6.0,linear
77,73655,15163,1,0.465257,0.700339,0.5,0.325,2.75,0.0,6.0,linear
78,73835,14911,1,0.46762,0.70238,0.5,0.325,2.75,0.0,6.0,linear
79,74000,15005,1,0.466792,0.702175,0.5,0.325,2.75,0.0,6.0,linear
80,73480,14871,1,0.467315,0.704104,0.5,0.325,2.75,0.0,6.0,linear
81,73093,14674,1,0.467555,0.702899,0.5,0.325,2.75,0.0,6.0,linear
82,73013,14695,1,0.467289,0.701314,0.5,0.325,2.75,0.0,6.0,linear
83,72955,14793,1,0.46868,0.703919,0.5,0.325,2.75,0.0,6.0,linear
84,72626,14603,1,0.469008,0.704371,0.5,0.325,2.75,0.0,6.0,linear
85,72506,14574,1,0.469609,0.703718,0.5,0.325,2.75,0.0,6.0,linear
86,72600,14624,1,0.469222,0.703197,0.5,0.325,2.75,0.0,6.0,linear
87,72601,14670,1,0.469277,0.704608,0.5,0.325,2.75,0.0,6.0,linear
88,73006,14582,1,0.470074,0.704769,0.5,0.325,2.75,0.0,6.0,linear
89,72847,14627,1,0.470742,0.705848,0.5,0.325,2.75,0.0,6.0,linear
90,72293,14546,1,0.471587,0.708426,0.5,0.325,2.75,0.0,6.0,linear
91,72028,14321,1,0.472284,0.708166,0.5,0.325,2.75,0.0,6.0,linear
92,72058,14259,1,0.47307,0.70946,0.5,0.325,2.75,0.0,6.0,linear
93,72019,14228,1,0.472841,0.708628,0.5,0.325,2.75,0.0,6.0,linear
94,71696,14294,1,0.47386,0.709425,0.5,0.325,2.75,0.0,6.0,linear
95,71267,14144,1,0.474856,0.711072,0.5,0.325,2.75,0.0,6.0,linear
96,71092,14030,1,0.477231,0.714442,0.5,0.325,2.75,0.0,6.0,linear
97,71063,13670,1,0.478869,0.717383,0.5,0.325,2.75,0.0,6.0,linear
98,70496,13451,1,0.477904,0.715147,0.5,0.325,2.75,0.0,6.0,linear
99,70390,13519,1,0.480941,0.716587,0.5,0.325,2.75,0.0,6.0,linear
100,69302,13187,1,0.481903,0.719689,0.5,0.325,2.75,0.0,6.0,linear
101,69576,13230,1,0.484243,0.721423,0.5,0.325,2.75,0.0,6.0,linear
102,69427,13228,1,0.4842,0.719891,0.5,0.325,2.75,0.0,6.0,linear
103,68771,13147,1,0.48376,0.720016,0.5,0.325,2.75,0.0,6.0,linear
104,68709,13146,1,0.484019,0.719807,0.5,0.325,2.75,0.0,6.0,linear
105,68962,13169,1,0.484698,0.721739,0.5,0.325,2.75,0.0,6.0,linear
106,68868,12991,1,0.48541,0.722764,0.5,0.325,2.75,0.0,6.0,linear
107,68686,12869,1,0.485958,0.721575,0.5,0.325,2.75,0.0,6.0,linear
108,68138,12940,1,0.487252,0.724627,0.5,0.325,2.75,0.0,6.0,linear
109,68278,12633,1,0.489201,0.728021,0.5,0.325,2.75,0.0,6.0,linear
110,68069,12559,1,0.491617,0.73114,0.5,0.325,2.75,0.0,6.0,linear
111,67707,12159,1,0.494647,0.735769,0.5,0.325,2.75,0.0,6.0,linear
112,67197,12046,1,0.498229,0.738289,0.5,0.325,2.75,0.0,6.0,linear
113,66318,11751,1,0.500623,0.741615,0.5,0.325,2.75,0.0,6.0,linear
114,65571,11470,1,0.502639,0.742914,0.5,0.325,2.75,0.0,6.0,linear
115,64980,11272,1,0.505542,0.743395,0.5,0.325,2.75,0.0,6.0,linear
116,64462,11178,1,0.507389,0.745195,0.5,0.325,2.75,0.0,6.0,linear
117,64057,10909,1,0.510558,0.748823,0.5,0.325,2.75,0.0,6.0,linear
118,63365,10585,1,0.513842,0.751406,0.5,0.325,2.75,0.0,6.0,linear
119,62345,10384,1,0.516854,0.754617,0.5,0.325,2.75,0.0,6.0,linear
120,61945,10271,1,0.521339,0.757635,0.5,0.325,2.75,0.0,6.0,linear
121,60792,10000,1,0.524242,0.761701,0.5,0.325,2.75,0.0,6.0,linear
122,60287,9702,1,0.525962,0.76407,0.5,0.325,2.75,0.0,6.0,linear
123,59759,9452,1,0.529577,0.766324,0.5,0.325,2.75,0.0,6.0,linear
124,59068,9249,1,0.534529,0.771731,0.5,0.325,2.75,0.0,6.0,linear
125,58288,8809,1,0.537034,0.773768,0.5,0.325,2.75,0.0,6.0,linear
126,57800,8684,1,0.543811,0.778918,0.5,0.325,2.75,0.0,6.0,linear
127,56628,8287,1,0.549436,0.784551,0.5,0.325,2.75,0.0,6.0,linear
128,55936,7974,1,0.552828,0.785516,0.5,0.325,2.75,0.0,6.0,linear
129,55060,7813,1,0.557687,0.788134,0.5,0.325,2.75,0.0,6.0,linear
130,54168,7616,1,0.561889,0.792116,0.5,0.325,2.75,0.0,6.0,linear
131,53438,7346,1,0.566371,0.795743,0.5,0.325,2.75,0.0,6.0,linear
132,52707,7108,1,0.570746,0.803222,0.5,0.325,2.75,0.0,6.0,linear
133,52166,6755,1,0.57534,0.805481,0.5,0.325,2.75,0.0,6.0,linear
134,51475,6572,1,0.582348,0.810085,0.5,0.325,2.75,0.0,6.0,linear
135,50144,6181,1,0.588537,0.81627,0.5,0.325,2.75,0.0,6.0,linear
136,49276,5785,1,0.598599,0.823499,0.5,0.325,2.75,0.0,6.0,linear
137,48286,5435,1,0.606236,0.828054,0.5,0.325,2.75,0.0,6.0,linear
138,47220,5137,1,0.614954,0.832141,0.5,0.325,2.75,0.0,6.0,linear
139,45869,4819,1,0.625768,0.839941,0.5,0.325,2.75,0.0,6.0,linear
140,44732,4554,1,0.634116,0.846084,0.5,0.325,2.75,0.0,6.0,linear
141,43626,4251,1,0.644604,0.852804,0.5,0.325,2.75,0.0,6.0,linear
142,42669,3973,1,0.655402,0.862529,0.5,0.325,2.75,0.0,6.0,linear
143,41744,3618,1,0.66577,0.869662,0.5,0.325,2.75,0.0,6.0,linear
144,40754,3287,1,0.679616,0.87592,0.5,0.325,2.75,0.0,6.0,linear
145,39836,2988,1,0.694194,0.884466,0.5,0.325,2.75,0.0,6.0,linear
146,38211,2701,1,0.707374,0.892281,0.5,0.325,2.75,0.0,6.0,linear
147,37109,2380,1,0.722965,0.903498,0.5,0.325,2.75,0.0,6.0,linear
148,35962,2070,1,0.742744,0.912878,0.5,0.325,2.75,0.0,6.0,linear
149,34501,1771,1,0.761152,0.921741,0.5,0.325,2.75,0.0,6.0,linear
150,33107,1488,1,0.783248,0.932074,0.5,0.325,2.75,0.0,6.0,linear
151,32101,1209,1,0.803248,0.94187,0.5,0.325,2.75,0.0,6.0,linear
152,31026,972,1,0.829091,0.950557,0.5,0.325,2.75,0.0,6.0,linear
153,30193,805,1,0.849913,0.958478,0.5,0.325,2.75,0.0,6.0,linear
154,29237,654,1,0.869605,0.964987,0.5,0.325,2.75,0.0,6.0,linear
155,28609,555,1,0.891369,0.97099,0.5,0.325,2.75,0.0,6.0,linear
156,27731,417,1,0.907031,0.976686,0.5,0.325,2.75,0.0,6.0,linear
157,27055,298,1,0.924447,0.982957,0.5,0.325,2.75,0.0,6.0,linear
158,26808,219,1,0.942909,0.988394,0.5,0.325,2.75,0.0,6.0,linear
159,26312,145,1,0.957778,0.992296,0.5,0.325,2.75,0.0,6.0,linear
160,25932,81,1,0.969483,0.995541,0.5,0.325,2.75,0.0,6.0,linear
161,25745,54,1,0.97949,0.997196,0.5,0.325,2.75,0.0,6.0,linear
162,25143,29,1,0.985937,0.998225,0.5,0.325,2.75,0.0,6.0,linear
163,25078,25,1,0.991423,0.998809,0.5,0.325,2.75,0.0,6.0,linear
164,25142,14,1,0.994393,0.999366,0.5,0.325,2.75,0.0,6.0,linear
165,24936,9,1,0.996458,0.99956,0.5,0.325,2.75,0.0,6.0,linear
166,24731,6,1,0.997818,0.999717,0.5,0.325,2.75,0.0,6.0,linear
167,24901,4,1,0.998455,0.99984,0.5,0.325,2.75,0.0,6.0,linear
168,24904,1,1,0.999318,0.99996,0.5,0.325,2.75,0.0,6.0,linear
169,24678,0,1,0.999797,1.0,0.5,0.325,2.75,0.0,6.0,linear

