generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78629,49177,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
2,78575,49140,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
3,80869,50376,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
4,80332,50629,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
5,78891,50272,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
6,77783,49896,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
7,78360,49857,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
8,77584,49376,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
9,77324,49220,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
10,79534,50223,1,0.0,0.0,0.5,0.275,2.75,0.0,6.0,linear
11,96689,50694,1,0.131836,0.131836,0.5,0.275,2.75,0.0,6.0,linear
12,104314,50588,1,0.199794,0.212039,0.5,0.275,2.75,0.0,6.0,linear
13,101466,48523,1,0.22384,0.255544,0.5,0.275,2.75,0.0,6.0,linear
14,97525,44889,1,0.250071,0.308548,0.5,0.275,2.75,0.0,6.0,linear
15,96833,42083,1,0.273806,0.360439,0.5,0.275,2.75,0.0,6.0,linear
16,97773,39702,1,0.295988,0.408319,0.5,0.275,2.75,0.0,6.0,linear
17,98190,37244,1,0.314223,0.449806,0.5,0.275,2.75,0.0,6.0,linear
18,99087,35362,1,0.329326,0.481639,0.5,0.275,2.75,0.0,6.0,linear
19,99131,33729,1,0.342386,0.508902,0.5,0.275,2.75,0.0,6.0,linear
20,98952,32357,1,0.350944,0.525642,0.5,0.275,2.75,0.0,6.0,linear
21,98358,31146,1,0.359005,0.542459,0.5,0.275,2.75,0.0,6.0,linear
22,97460,30146,1,0.36517,0.555439,0.5,0.275,2.75,0.0,6.0,linear
23,96845,29141,1,0.372098,0.567947,0.5,0.275,2.75,0.0,6.0,linear
24,96410,28322,1,0.378089,0.578818,0.5,0.275,2.75,0.0,6.0,linear
25,95876,27671,1,0.383079,0.588796,0.5,0.275,2.75,0.0,6.0,linear
26,95317,26831,1,0.386471,0.594691,0.5,0.275,2.75,0.0,6.0,linear
27,94509,26444,1,0.390615,0.600825,0.5,0.275,2.75,0.0,6.0,linear
28,93223,25606,1,0.395454,0.607997,0.5,0.275,2.75,0.0,6.0,linear
29,92953,25133,1,0.397232,0.611528,0.5,0.275,2.75,0.0,6.0,linear
30,92342,24746,1,0.40054,0.61701,0.5,0.275,2.75,0.0,6.0,linear
31,91574,24154,1,0.402204,0.61999,0.5,0.275,2.75,0.0,6.0,linear
32,91155,23901,1,0.402147,0.619885,0.5,0.275,2.75,0.0,6.0,linear
33,90853,23712,1,0.405066,0.623657,0.5,0.275,2.75,0.0,6.0,linear
34,90507,23515,1,0.407086,0.627595,0.5,0.275,2.75,0.0,6.0,linear
35,89834,23040,1,0.408925,0.629039,0.5,0.275,2.75,0.0,6.0,linear
36,89581,22918,1,0.409392,0.629953,0.5,0.275,2.75,0.0,6.0,linear
37,89478,23032,1,0.411957,0.633576,0.5,0.275,2.75,0.0,6.0,linear
38,88377,22405,1,0.413259,0.635839,0.5,0.275,2.75,0.0,6.0,linear
39,88229,22178,1,0.416275,0.640571,0.5,0.275,2.75,0.0,6.0,linear
40,87904,21804,1,0.418787,0.643328,0.5,0.275,2.75,0.0,6.0,linear
41,87394,21553,1,0.418938,0.643808,0.5,0.275,2.75,0.0,6.0,linear
42,87028,21432,1,0.41989,0.644914,0.5,0.275,2.75,0.0,6.0,linear
43,86758,21228,1,0.420617,0.644485,0.5,0.275,2.75,0.0,6.0,linear
44,86144,21100,1,0.422254,0.64767,0.5,0.275,2.75,0.0,6.0,linear
45,85422,20909,1,0.423302,0.649698,0.5,0.275,2.75,0.0,6.0,linear
46,85359,20685,1,0.425089,0.652503,0.5,0.275,2.75,0.0,6.0,linear
47,85001,20433,1,0.426211,0.654092,0.5,0.275,2.75,0.0,6.0,linear
48,84694,20118,1,0.427675,0.656023,0.5,0.275,2.75,0.0,6.0,linear
49,84313,19871,1,0.428525,0.657306,0.5,0.275,2.75,0.0,6.0,linear
50,84176,19736,1,0.429381,0.656998,0.5,0.275,2.75,0.0,6.0,linear
51,83813,19683,1,0.429755,0.657249,0.5,0.275,2.75,0.0,6.0,linear
52,83626,19616,1,0.42963,0.655977,0.5,0.275,2.75,0.0,6.0,linear
53,83144,19542,1,0.429871,0.656739,0.5,0.275,2.75,0.0,6.0,linear
