generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,77877,48839,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
2,77728,48927,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
3,81117,50667,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
4,80633,50885,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
5,78941,50198,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
6,76821,49403,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
7,77576,49501,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
8,79467,50178,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
9,79033,49970,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
10,79175,50229,1,0.0,0.0,0.5,0.125,0.5,0.0,6.0,linear
11,81678,50250,1,0.026817,0.026817,0.5,0.125,0.5,0.0,6.0,linear
12,83014,50082,1,0.0436072,0.0471871,0.5,0.125,0.5,0.0,6.0,linear
13,82051,49276,1,0.0508027,0.0616967,0.5,0.125,0.5,0.0,6.0,linear
14,82282,48955,1,0.0578499,0.0758899,0.5,0.125,0.5,0.0,6.0,linear
15,81773,48157,1,0.0661694,0.091457,0.5,0.125,0.5,0.0,6.0,linear
16,80897,47001,1,0.0741341,0.108143,0.5,0.125,0.5,0.0,6.0,linear
17,81217,46641,1,0.0796949,0.12089,0.5,0.125,0.5,0.0,6.0,linear
18,82698,46749,1,0.086395,0.134109,0.5,0.125,0.5,0.0,6.0,linear
19,83978,47094,1,0.0911853,0.144145,0.5,0.125,0.5,0.0,6.0,linear
20,83787,46639,1,0.0957588,0.152203,0.5,0.125,0.5,0.0,6.0,linear
21,82481,45824,1,0.10063,0.161594,0.5,0.125,0.5,0.0,6.0,linear
22,82611,45676,1,0.104043,0.168778,0.5,0.125,0.5,0.0,6.0,linear
23,82461,45109,1,0.107265,0.176368,0.5,0.125,0.5,0.0,6.0,linear
24,82986,44966,1,0.11041,0.182637,0.5,0.125,0.5,0.0,6.0,linear
25,83341,44866,1,0.114545,0.190949,0.5,0.125,0.5,0.0,6.0,linear
26,83684,44764,1,0.116785,0.195115,0.5,0.125,0.5,0.0,6.0,linear
27,83463,44564,1,0.118036,0.198415,0.5,0.125,0.5,0.0,6.0,linear
28,83537,44420,1,0.120856,0.203338,0.5,0.125,0.5,0.0,6.0,linear
29,83031,43994,1,0.12443,0.210228,0.5,0.125,0.5,0.0,6.0,linear
30,83278,43717,1,0.12535,0.212544,0.5,0.125,0.5,0.0,6.0,linear
31,83883,44032,1,0.1277,0.217318,0.5,0.125,0.5,0.0,6.0,linear
32,84029,43752,1,0.128602,0.218388,0.5,0.125,0.5,0.0,6.0,linear
33,83552,43414,1,0.13063,0.223384,0.5,0.125,0.5,0.0,6.0,linear
34,83411,43314,1,0.13124,0.225113,0.5,0.125,0.5,0.0,6.0,linear
35,83391,43076,1,0.131518,0.225542,0.5,0.125,0.5,0.0,6.0,linear
36,84162,43427,1,0.132528,0.227665,0.5,0.125,0.5,0.0,6.0,linear
37,84097,43134,1,0.133445,0.229124,0.5,0.125,0.5,0.0,6.0,linear
38,83808,42996,1,0.133855,0.230172,0.5,0.125,0.5,0.0,6.0,linear
39,83841,43121,1,0.133145,0.229091,0.5,0.125,0.5,0.0,6.0,linear
40,84009,43313,1,0.134044,0.230857,0.5,0.125,0.5,0.0,6.0,linear
41,84430,43379,1,0.133889,0.230893,0.5,0.125,0.5,0.0,6.0,linear
42,84159,43447,1,0.134261,0.230963,0.5,0.125,0.5,0.0,6.0,linear
43,84423,43443,1,0.134775,0.231608,0.5,0.125,0.5,0.0,6.0,linear
44,83334,42989,1,0.134764,0.232198,0.5,0.125,0.5,0.0,6.0,linear
45,83972,43052,1,0.136069,0.234866,0.5,0.125,0.5,0.0,6.0,linear
46,84692,43372,1,0.135086,0.232969,0.5,0.125,0.5,0.0,6.0,linear
47,84707,43453,1,0.135613,0.234545,0.5,0.125,0.5,0.0,6.0,linear
48,84793,43593,1,0.134771,0.232903,0.5,0.125,0.5,0.0,6.0,linear
49,84293,43511,1,0.135244,0.232701,0.5,0.125,0.5,0.0,6.0,linear
50,83829,43244,1,0.1353,0.233026,0.5,0.125,0.5,0.0,6.0,linear
51,83294,42842,1,0.13517,0.232876,0.5,0.125,0.5,0.0,6.0,linear
52,83482,42758,1,0.135706,0.233687,0.5,0.125,0.5,0.0,6.0,linear
53,83969,42863,1,0.133899,0.230871,0.5,0.125,0.5,0.0,6.0,linear
54,85208,43542,1,0.133856,0.230724,0.5,0.125,0.5,0.0,6.0,linear
55,85378,43757,1,0.134029,0.230741,0.5,0.125,0.5,0.0,6.0,linear
56,84107,43212,1,0.13433,0.23114,0.5,0.125,0.5,0.0,6.0,linear
57,83556,43133,1,0.133482,0.229601,0.5,0.125,0.5,0.0,6.0,linear
58,84251,43437,1,0.133176,0.228584,0.5,0.125,0.5,0.0,6.0,linear
59,84423,43521,1,0.132613,0.22751,0.5,0.125,0.5,0.0,6.0,linear
60,84598,43751,1,0.133032,0.228435,0.5,0.125,0.5,0.0,6.0,linear
61,84277,43668,1,0.133686,0.229816,0.5,0.125,0.5,0.0,6.0,linear
62,84472,43791,1,0.134414,0.231168,0.5,0.125,0.5,0.0,6.0,linear
63,84117,43332,1,0.134606,0.231798,0.5,0.125,0.5,0.0,6.0,linear
64,84129,43294,1,0.133625,0.230556,0.5,0.125,0.5,0.0,6.0,linear
65,84363,43119,1,0.134319,0.23142,0.5,0.125,0.5,0.0,6.0,linear
66,84443,43258,1,0.134533,0.231499,0.5,0.125,0.5,0.0,6.0,linear
67,84518,43432,1,0.134561,0.231825,0.5,0.125,0.5,0.0,6.0,linear
68,84660,43508,1,0.133772,0.230966,0.5,0.125,0.5,0.0,6.0,linear
