generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78792,49327,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
2,78181,49121,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
3,80026,50329,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
4,80359,50751,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
5,79753,50875,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
6,78495,50386,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
7,77325,49668,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
8,77636,49729,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
9,78849,50054,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
10,77881,49434,1,0.0,0.0,0.5,0.005,5.5,0.0,6.0,linear
11,111679,49982,1,0.233997,0.233997,0.5,0.005,5.5,0.0,6.0,linear
12,129627,50808,1,0.331955,0.347502,0.5,0.005,5.5,0.0,6.0,linear
13,126357,47911,1,0.359559,0.398448,0.5,0.005,5.5,0.0,6.0,linear
14,121697,43463,1,0.39249,0.460833,0.5,0.005,5.5,0.0,6.0,linear
15,118576,38865,1,0.421429,0.524545,0.5,0.005,5.5,0.0,6.0,linear
16,119052,35143,1,0.446099,0.581576,0.5,0.005,5.5,0.0,6.0,linear
17,119499,31374,1,0.468091,0.628817,0.5,0.005,5.5,0.0,6.0,linear
18,118401,27546,1,0.487869,0.667832,0.5,0.005,5.5,0.0,6.0,linear
19,117038,24913,1,0.503048,0.696469,0.5,0.005,5.5,0.0,6.0,linear
20,115923,22818,1,0.5158,0.71703,0.5,0.005,5.5,0.0,6.0,linear
21,113936,21036,1,0.527226,0.733288,0.5,0.005,5.5,0.0,6.0,linear
22,111409,19248,1,0.536508,0.747477,0.5,0.005,5.5,0.0,6.0,linear
23,109187,17920,1,0.546457,0.75889,0.5,0.005,5.5,0.0,6.0,linear
24,106291,16730,1,0.555818,0.767545,0.5,0.005,5.5,0.0,6.0,linear
25,103518,15560,1,0.565298,0.777821,0.5,0.005,5.5,0.0,6.0,linear
26,101485,14500,1,0.575393,0.787894,0.5,0.005,5.5,0.0,6.0,linear
27,99181,13434,1,0.58606,0.798785,0.5,0.005,5.5,0.0,6.0,linear
28,96740,12382,1,0.595491,0.806364,0.5,0.005,5.5,0.0,6.0,linear
29,94254,11707,1,0.605132,0.814346,0.5,0.005,5.5,0.0,6.0,linear
30,92323,10785,1,0.616175,0.823193,0.5,0.005,5.5,0.0,6.0,linear
31,89988,10032,1,0.62693,0.830839,0.5,0.005,5.5,0.0,6.0,linear
32,87917,9268,1,0.637946,0.841585,0.5,0.005,5.5,0.0,6.0,linear
33,85413,8432,1,0.650149,0.851813,0.5,0.005,5.5,0.0,6.0,linear
34,82989,7554,1,0.664238,0.861085,0.5,0.005,5.5,0.0,6.0,linear
35,80935,6965,1,0.677461,0.869935,0.5,0.005,5.5,0.0,6.0,linear
36,78176,6162,1,0.690229,0.877456,0.5,0.005,5.5,0.0,6.0,linear
37,75971,5544,1,0.706775,0.886435,0.5,0.005,5.5,0.0,6.0,linear
38,73806,4969,1,0.723065,0.898017,0.5,0.005,5.5,0.0,6.0,linear
39,71534,4268,1,0.739709,0.907472,0.5,0.005,5.5,0.0,6.0,linear
40,69535,3726,1,0.760116,0.917739,0.5,0.005,5.5,0.0,6.0,linear
41,67039,3178,1,0.779675,0.927153,0.5,0.005,5.5,0.0,6.0,linear
42,64894,2668,1,0.798487,0.936852,0.5,0.005,5.5,0.0,6.0,linear
43,62862,2213,1,0.820518,0.946078,0.5,0.005,5.5,0.0,6.0,linear
44,61218,1849,1,0.8409,0.953822,0.5,0.005,5.5,0.0,6.0,linear
45,59004,1509,1,0.859653,0.9611,0.5,0.005,5.5,0.0,6.0,linear
46,57620,1182,1,0.880743,0.969224,0.5,0.005,5.5,0.0,6.0,linear
47,56350,915,1,0.901634,0.975887,0.5,0.005,5.5,0.0,6.0,linear
48,54929,671,1,0.918668,0.981771,0.5,0.005,5.5,0.0,6.0,linear
49,53723,476,1,0.936926,0.987155,0.5,0.005,5.5,0.0,6.0,linear
50,52665,319,1,0.952274,0.991135,0.5,0.005,5.5,0.0,6.0,linear
51,51771,232,1,0.964288,0.993706,0.5,0.005,5.5,0.0,6.0,linear
52,51196,170,1,0.975241,0.995572,0.5,0.005,5.5,0.0,6.0,linear
53,50743,117,1,0.98128,0.997178,0.5,0.005,5.5,0.0,6.0,linear
54,50360,76,1,0.987433,0.998186,0.5,0.005,5.5,0.0,6.0,linear
55,50138,45,1,0.991613,0.998908,0.5,0.005,5.5,0.0,6.0,linear
56,50323,33,1,0.9947,0.999307,0.5,0.005,5.5,0.0,6.0,linear
57,50108,14,1,0.996396,0.999701,0.5,0.005,5.5,0.0,6.0,linear
58,49714,3,1,0.998171,0.99992,0.5,0.005,5.5,0.0,6.0,linear
59,49614,2,1,0.999013,0.99996,0.5,0.005,5.5,0.0,6.0,linear
60,49432,2,1,0.999525,0.99996,0.5,0.005,5.5,0.0,6.0,linear
61,49321,1,1,0.999818,0.99998,0.5,0.005,5.5,0.0,6.0,linear
62,49334,0,1,0.999909,1.0,0.5,0.005,5.5,0.0,6.0,linear

