drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,suppression_rate
0.650,1.5,0.0,6.0,linear,0
0.650,10.0,0.0,6.0,linear,1.00
0.650,2.0,0.0,6.0,linear,0
0.650,2.5,0.0,6.0,linear,0
0.650,3.0,0.0,6.0,linear,0
0.650,3.5,0.0,6.0,linear,0
0.650,4.0,0.0,6.0,linear,0
0.650,4.5,0.0,6.0,linear,0
0.650,5.0,0.0,6.0,linear,0
0.650,5.5,0.0,6.0,linear,0
0.650,6.0,0.0,6.0,linear,0
0.650,6.5,0.0,6.0,linear,0
0.650,7.0,0.0,6.0,linear,0
0.650,7.5,0.0,6.0,linear,0
0.650,8.0,0.0,6.0,linear,0
0.650,8.5,0.0,6.0,linear,1.00
0.650,9.0,0.0,6.0,linear,1.00
0.650,9.5,0.0,6.0,linear,1.00
0.675,0.0,0.0,6.0,linear,0
0.675,0.5,0.0,6.0,linear,0
0.675,1.0,0.0,6.0,linear,0
0.675,1.5,0.0,6.0,linear,0
0.675,10.0,0.0,6.0,linear,1.00
0.675,2.0,0.0,6.0,linear,0
0.675,2.5,0.0,6.0,linear,0
0.675,3.0,0.0,6.0,linear,0
0.675,3.5,0.0,6.0,linear,0
0.675,4.0,0.0,6.0,linear,0
0.675,4.5,0.0,6.0,linear,0
0.675,5.0,0.0,6.0,linear,0
0.675,5.5,0.0,6.0,linear,0
0.675,6.0,0.0,6.0,linear,0
0.675,6.5,0.0,6.0,linear,0
0.675,7.0,0.0,6.0,linear,0
0.675,7.5,0.0,6.0,linear,0
0.675,8.0,0.0,6.0,linear,1.00
0.675,8.5,0.0,6.0,linear,1.00
0.675,9.0,0.0,6.0,linear,1.00
0.675,9.5,0.0,6.0,linear,1.00
0.700,0.0,0.0,6.0,linear,0
0.700,0.5,0.0,6.0,linear,0
0.700,1.0,0.0,6.0,linear,0
0.700,1.5,0.0,6.0,linear,0
0.700,10.0,0.0,6.0,linear,1.00
0.700,2.0,0.0,6.0,linear,0
0.700,2.5,0.0,6.0,linear,0
0.700,3.0,0.0,6.0,linear,0
0.700,3.5,0.0,6.0,linear,0
0.700,4.0,0.0,6.0,linear,0
0.700,4.5,0.0,6.0,linear,0
0.700,5.0,0.0,6.0,linear,0
0.700,5.5,0.0,6.0,linear,0
0.700,6.0,0.0,6.0,linear,0
0.700,6.5,0.0,6.0,linear,0
0.700,7.0,0.0,6.0,linear,0
0.700,7.5,0.0,6.0,linear,0
0.700,8.0,0.0,6.0,linear,1.00
0.700,8.5,0.0,6.0,linear,1.00
0.700,9.0,0.0,6.0,linear,1.00
0.700,9.5,0.0,6.0,linear,1.00
0.725,0.0,0.0,6.0,linear,0
0.725,0.5,0.0,6.0,linear,0
0.725,1.0,0.0,6.0,linear,0
0.725,1.5,0.0,6.0,linear,0
0.725,10.0,0.0,6.0,linear,1.00
0.725,2.0,0.0,6.0,linear,0
0.725,2.5,0.0,6.0,linear,0
0.725,3.0,0.0,6.0,linear,0
0.725,3.5,0.0,6.0,linear,0
0.725,4.0,0.0,6.0,linear,0
0.725,4.5,0.0,6.0,linear,0
