generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78434,49583,1,0.0,0.0,0.85,2.125,10.0,concave
2,78319,49502,1,0.0,0.0,0.85,2.125,10.0,concave
3,77942,49453,1,0.0,0.0,0.85,2.125,10.0,concave
4,77933,49504,1,0.0,0.0,0.85,2.125,10.0,concave
5,77494,49350,1,0.0,0.0,0.85,2.125,10.0,concave
6,77624,49292,1,0.0,0.0,0.85,2.125,10.0,concave
7,78585,49675,1,0.0,0.0,0.85,2.125,10.0,concave
8,78677,49825,1,0.0,0.0,0.85,2.125,10.0,concave
9,78457,49832,1,0.0,0.0,0.85,2.125,10.0,concave
10,78554,50040,1,0.0,0.0,0.85,2.125,10.0,concave
11,91457,49847,1,0.106454,0.106454,0.85,2.125,10.0,concave
12,97666,49683,1,0.164083,0.175521,0.85,2.125,10.0,concave
13,96073,48280,1,0.182284,0.211343,0.85,2.125,10.0,concave
14,93149,45319,1,0.207429,0.257065,0.85,2.125,10.0,concave
15,89176,41727,1,0.234703,0.30598,0.85,2.125,10.0,concave
16,85198,38144,1,0.26206,0.354638,0.85,2.125,10.0,concave
17,81259,34143,1,0.289128,0.40067,0.85,2.125,10.0,concave
18,76950,30288,1,0.315757,0.445177,0.85,2.125,10.0,concave
19,72681,26760,1,0.338663,0.484317,0.85,2.125,10.0,concave
20,68981,23580,1,0.364041,0.52444,0.85,2.125,10.0,concave
21,65357,20726,1,0.390183,0.565552,0.85,2.125,10.0,concave
22,61642,17923,1,0.413564,0.601457,0.85,2.125,10.0,concave
23,58640,15602,1,0.43583,0.634278,0.85,2.125,10.0,concave
24,55735,13723,1,0.458907,0.665459,0.85,2.125,10.0,concave
25,52452,11860,1,0.478472,0.693231,0.85,2.125,10.0,concave
26,50029,10412,1,0.49648,0.718992,0.85,2.125,10.0,concave
27,47730,9056,1,0.516988,0.745543,0.85,2.125,10.0,concave
28,45988,7808,1,0.536773,0.766605,0.85,2.125,10.0,concave
29,43509,6836,1,0.55379,0.786806,0.85,2.125,10.0,concave
30,41752,5842,1,0.57483,0.811124,0.85,2.125,10.0,concave
31,39945,4922,1,0.594083,0.82976,0.85,2.125,10.0,concave
32,38047,4182,1,0.612729,0.846015,0.85,2.125,10.0,concave
33,35953,3538,1,0.631803,0.861107,0.85,2.125,10.0,concave
34,34417,3055,1,0.650939,0.875381,0.85,2.125,10.0,concave
35,32741,2576,1,0.668881,0.888695,0.85,2.125,10.0,concave
36,31571,2186,1,0.690852,0.903144,0.85,2.125,10.0,concave
37,30185,1826,1,0.708929,0.914732,0.85,2.125,10.0,concave
38,29081,1524,1,0.732049,0.926767,0.85,2.125,10.0,concave
39,27643,1252,1,0.751736,0.933838,0.85,2.125,10.0,concave
40,26556,1037,1,0.77511,0.945928,0.85,2.125,10.0,concave
41,25621,767,1,0.797302,0.955129,0.85,2.125,10.0,concave
42,24608,637,1,0.819482,0.963553,0.85,2.125,10.0,concave
43,23855,500,1,0.84576,0.971074,0.85,2.125,10.0,concave
44,23053,397,1,0.863702,0.97569,0.85,2.125,10.0,concave
45,22399,300,1,0.886034,0.982133,0.85,2.125,10.0,concave
46,21757,199,1,0.904153,0.987864,0.85,2.125,10.0,concave
47,21251,141,1,0.925633,0.990937,0.85,2.125,10.0,concave
48,20765,84,1,0.944051,0.993577,0.85,2.125,10.0,concave
49,20258,62,1,0.959959,0.995564,0.85,2.125,10.0,concave
50,19757,36,1,0.971535,0.997277,0.85,2.125,10.0,concave
51,19731,22,1,0.980969,0.998496,0.85,2.125,10.0,concave
52,19438,13,1,0.986997,0.999234,0.85,2.125,10.0,concave
53,19303,10,1,0.992478,0.999483,0.85,2.125,10.0,concave
54,19208,5,1,0.995925,0.99974,0.85,2.125,10.0,concave
55,19227,1,1,0.997637,0.999948,0.85,2.125,10.0,concave
56,19198,1,1,0.999114,0.999948,0.85,2.125,10.0,concave
57,19152,0,1,0.999687,1.0,0.85,2.125,10.0,concave

