generation,size,female_size,rate_r2,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,77968,49145,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
2,77921,48985,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
3,79045,49693,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
4,80455,50602,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
5,79742,50632,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
6,78046,49929,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
7,77456,49795,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
8,78853,50266,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
9,79022,50121,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
10,78079,49657,0.0,0.0,0.0,0.5,0.5,0.9,0.0,6.0,linear
11,83728,49925,0.0,0.04769,0.04769,0.5,0.5,0.9,0.0,6.0,linear
12,87739,50572,0.0,0.0767557,0.0829794,0.5,0.5,0.9,0.0,6.0,linear
13,85954,49438,0.0,0.0889399,0.106099,0.5,0.5,0.9,0.0,6.0,linear
14,83365,47283,0.0,0.103906,0.135307,0.5,0.5,0.9,0.0,6.0,linear
15,83529,46298,0.0,0.116752,0.1636,0.5,0.5,0.9,0.0,6.0,linear
16,85891,46150,0.0,0.128704,0.189067,0.5,0.5,0.9,0.0,6.0,linear
17,86449,45301,0.0,0.140425,0.213624,0.5,0.5,0.9,0.0,6.0,linear
18,86509,44331,0.0,0.150124,0.233756,0.5,0.5,0.9,0.0,6.0,linear
19,87457,44088,0.0,0.15976,0.253814,0.5,0.5,0.9,0.0,6.0,linear
20,88469,43777,0.0,0.166732,0.267234,0.5,0.5,0.9,0.0,6.0,linear
21,88689,43312,0.0,0.174049,0.283114,0.5,0.5,0.9,0.0,6.0,linear
22,89323,43021,0.0,0.181498,0.296675,0.5,0.5,0.9,0.0,6.0,linear
23,88837,42247,0.0,0.190153,0.31394,0.5,0.5,0.9,0.0,6.0,linear
24,88550,41597,0.0,0.196046,0.326062,0.5,0.5,0.9,0.0,6.0,linear
25,88485,41018,0.0,0.202777,0.339685,0.5,0.5,0.9,0.0,6.0,linear
26,89188,40404,0.0,0.209518,0.352525,0.5,0.5,0.9,0.0,6.0,linear
27,88948,39957,0.0,0.213527,0.360772,0.5,0.5,0.9,0.0,6.0,linear
28,88554,39401,0.0,0.219805,0.371606,0.5,0.5,0.9,0.0,6.0,linear
29,88197,38941,0.0,0.224555,0.38062,0.5,0.5,0.9,0.0,6.0,linear
30,88062,38612,0.0,0.228264,0.388159,0.5,0.5,0.9,0.0,6.0,linear
31,88226,38389,0.0,0.232642,0.397171,0.5,0.5,0.9,0.0,6.0,linear
32,87850,37883,0.0,0.238022,0.408359,0.5,0.5,0.9,0.0,6.0,linear
33,87245,37037,0.0,0.242569,0.417785,0.5,0.5,0.9,0.0,6.0,linear
34,86845,36588,0.0,0.246819,0.424716,0.5,0.5,0.9,0.0,6.0,linear
35,86444,35996,0.0,0.252789,0.435312,0.5,0.5,0.9,0.0,6.0,linear
36,86105,35408,0.0,0.25684,0.443323,0.5,0.5,0.9,0.0,6.0,linear
37,86047,34788,0.0,0.261271,0.451712,0.5,0.5,0.9,0.0,6.0,linear
38,85752,34215,0.0,0.26542,0.45992,0.5,0.5,0.9,0.0,6.0,linear
39,85126,33664,0.0,0.268697,0.466124,0.5,0.5,0.9,0.0,6.0,linear
40,84308,32793,0.0,0.273732,0.47461,0.5,0.5,0.9,0.0,6.0,linear
41,83837,32549,0.0,0.27667,0.48071,0.5,0.5,0.9,0.0,6.0,linear
42,83623,32062,0.0,0.279891,0.486269,0.5,0.5,0.9,0.0,6.0,linear
43,83033,31493,0.0,0.281893,0.490118,0.5,0.5,0.9,0.0,6.0,linear
44,82722,31141,0.0,0.285325,0.49589,0.5,0.5,0.9,0.0,6.0,linear
45,82224,30859,0.0,0.287773,0.499538,0.5,0.5,0.9,0.0,6.0,linear
46,81849,30499,0.0,0.291162,0.505717,0.5,0.5,0.9,0.0,6.0,linear
47,81451,30059,0.0,0.294317,0.512447,0.5,0.5,0.9,0.0,6.0,linear
48,80840,29609,0.0,0.297972,0.519183,0.5,0.5,0.9,0.0,6.0,linear
