generation,size,female_size,rate_r2,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78275,49144,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
2,78223,49143,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
3,79924,50382,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
4,80033,50640,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
5,78703,50317,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
6,78244,50009,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
7,78586,50148,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
8,78133,49850,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
9,78317,49820,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
10,78325,49861,0.0,0.0,0.0,0.5,0.5,9.0,0.0,6.0,linear
11,132971,50147,0.0,0.335651,0.335651,0.5,0.5,9.0,0.0,6.0,linear
12,160321,50268,0.0,0.44754,0.463439,0.5,0.5,9.0,0.0,6.0,linear
13,158819,48760,0.0,0.478367,0.519643,0.5,0.5,9.0,0.0,6.0,linear
14,154740,44928,0.000661354,0.513449,0.587899,0.5,0.5,9.0,0.0,6.0,linear
15,153500,42171,0.00271151,0.549288,0.659337,0.5,0.5,9.0,0.0,6.0,linear
16,154158,39975,0.00689809,0.58413,0.724487,0.5,0.5,9.0,0.0,6.0,linear
17,155350,37742,0.0136779,0.620514,0.783234,0.5,0.5,9.0,0.0,6.0,linear
18,154230,35033,0.0228395,0.655784,0.830957,0.5,0.5,9.0,0.0,6.0,linear
19,153826,32649,0.0340632,0.68832,0.867983,0.5,0.5,9.0,0.0,6.0,linear
20,153283,30151,0.0464758,0.716791,0.895557,0.5,0.5,9.0,0.0,6.0,linear
21,151724,27674,0.0591347,0.742141,0.916868,0.5,0.5,9.0,0.0,6.0,linear
22,149373,25183,0.0707124,0.764146,0.934265,0.5,0.5,9.0,0.0,6.0,linear
23,147377,22916,0.0812796,0.78226,0.94814,0.5,0.5,9.0,0.0,6.0,linear
24,144647,21019,0.0915883,0.797471,0.959731,0.5,0.5,9.0,0.0,6.0,linear
25,142445,19430,0.100707,0.809716,0.968403,0.5,0.5,9.0,0.0,6.0,linear
26,139844,17857,0.107942,0.821056,0.9758,0.5,0.5,9.0,0.0,6.0,linear
27,137018,16389,0.11369,0.83144,0.98134,0.5,0.5,9.0,0.0,6.0,linear
28,133759,15227,0.119723,0.837829,0.98591,0.5,0.5,9.0,0.0,6.0,linear
29,131904,14353,0.123445,0.844635,0.989747,0.5,0.5,9.0,0.0,6.0,linear
30,129435,13451,0.126083,0.850163,0.99274,0.5,0.5,9.0,0.0,6.0,linear
31,127575,12864,0.128181,0.854422,0.99465,0.5,0.5,9.0,0.0,6.0,linear
32,125493,12179,0.129051,0.858068,0.996038,0.5,0.5,9.0,0.0,6.0,linear
33,123957,11534,0.130149,0.860445,0.997033,0.5,0.5,9.0,0.0,6.0,linear
34,122564,11138,0.130206,0.86313,0.997799,0.5,0.5,9.0,0.0,6.0,linear
35,121090,10679,0.129019,0.866273,0.998534,0.5,0.5,9.0,0.0,6.0,linear
36,120460,10447,0.129135,0.867439,0.998902,0.5,0.5,9.0,0.0,6.0,linear
37,118604,10110,0.129096,0.868395,0.99921,0.5,0.5,9.0,0.0,6.0,linear
38,118338,10003,0.127409,0.870913,0.999515,0.5,0.5,9.0,0.0,6.0,linear
39,117512,9760,0.1266,0.872199,0.999686,0.5,0.5,9.0,0.0,6.0,linear
40,116522,9468,0.125987,0.873256,0.999831,0.5,0.5,9.0,0.0,6.0,linear
41,116153,9404,0.125562,0.873913,0.999894,0.5,0.5,9.0,0.0,6.0,linear
42,115991,9274,0.124401,0.875231,0.999965,0.5,0.5,9.0,0.0,6.0,linear
43,115565,9180,0.123911,0.875878,0.999986,0.5,0.5,9.0,0.0,6.0,linear
44,115016,9080,0.12322,0.876636,0.999993,0.5,0.5,9.0,0.0,6.0,linear
45,114207,8909,0.122862,0.877055,1.0,0.5,0.5,9.0,0.0,6.0,linear
46,114212,8858,0.121576,0.878387,1.0,0.5,0.5,9.0,0.0,6.0,linear
47,113490,8615,0.12092,0.879065,1.0,0.5,0.5,9.0,0.0,6.0,linear
48,113492,8610,0.119681,0.880319,1.0,0.5,0.5,9.0,0.0,6.0,linear
49,113228,8433,0.119101,0.880899,1.0,0.5,0.5,9.0,0.0,6.0,linear
50,112729,8306,0.117946,0.882054,1.0,0.5,0.5,9.0,0.0,6.0,linear
51,112100,8193,0.11678,0.88322,1.0,0.5,0.5,9.0,0.0,6.0,linear
52,112116,8157,0.116594,0.883406,1.0,0.5,0.5,9.0,0.0,6.0,linear
53,111865,8214,0.115829,0.884171,1.0,0.5,0.5,9.0,0.0,6.0,linear
54,111406,8131,0.116241,0.883759,1.0,0.5,0.5,9.0,0.0,6.0,linear
55,110846,7986,0.116211,0.883789,1.0,0.5,0.5,9.0,0.0,6.0,linear
56,110884,7896,0.115285,0.884715,1.0,0.5,0.5,9.0,0.0,6.0,linear
57,111315,7873,0.113654,0.886346,1.0,0.5,0.5,9.0,0.0,6.0,linear
58,110719,7790,0.114104,0.885896,1.0,0.5,0.5,9.0,0.0,6.0,linear
59,110525,7748,0.11312,0.88688,1.0,0.5,0.5,9.0,0.0,6.0,linear
60,110675,7631,0.111329,0.888671,1.0,0.5,0.5,9.0,0.0,6.0,linear
61,110490,7658,0.111548,0.888452,1.0,0.5,0.5,9.0,0.0,6.0,linear
62,110231,7651,0.112102,0.887898,1.0,0.5,0.5,9.0,0.0,6.0,linear
63,110054,7776,0.111789,0.888211,1.0,0.5,0.5,9.0,0.0,6.0,linear
64,109724,7718,0.111514,0.888486,1.0,0.5,0.5,9.0,0.0,6.0,linear
65,109952,7659,0.111615,0.888385,1.0,0.5,0.5,9.0,0.0,6.0,linear
66,109845,7606,0.111782,0.888218,1.0,0.5,0.5,9.0,0.0,6.0,linear
67,110108,7481,0.111076,0.888924,1.0,0.5,0.5,9.0,0.0,6.0,linear
68,109972,7528,0.110788,0.889212,1.0,0.5,0.5,9.0,0.0,6.0,linear
69,109493,7447,0.110473,0.889527,1.0,0.5,0.5,9.0,0.0,6.0,linear
70,109643,7439,0.110054,0.889946,1.0,0.5,0.5,9.0,0.0,6.0,linear
71,109506,7500,0.109884,0.890116,1.0,0.5,0.5,9.0,0.0,6.0,linear
72,109765,7679,0.110213,0.889787,1.0,0.5,0.5,9.0,0.0,6.0,linear
73,110034,7578,0.11002,0.88998,1.0,0.5,0.5,9.0,0.0,6.0,linear
