generation,size,female_size,rate_r2,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78617,49606,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
2,78299,49325,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
3,79404,50097,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
4,80092,50537,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
5,79322,50471,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
6,77321,49562,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
7,78281,49920,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
8,79192,50172,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
9,79272,50203,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
10,78576,49968,0.0,0.0,0.0,0.5,0.5,4.5,0.0,6.0,linear
11,105877,50165,0.0,0.202569,0.202569,0.5,0.5,4.5,0.0,6.0,linear
12,119279,50258,0.0,0.290139,0.305262,0.5,0.5,4.5,0.0,6.0,linear
13,117773,48829,0.0,0.319772,0.361595,0.5,0.5,4.5,0.0,6.0,linear
14,114957,46341,0.00086889,0.355464,0.43223,0.5,0.5,4.5,0.0,6.0,linear
15,115211,44971,0.00346001,0.393572,0.506186,0.5,0.5,4.5,0.0,6.0,linear
16,115632,43298,0.00867031,0.432855,0.57801,0.5,0.5,4.5,0.0,6.0,linear
17,115946,41542,0.0165055,0.471456,0.642941,0.5,0.5,4.5,0.0,6.0,linear
18,116186,39751,0.0269914,0.510164,0.700934,0.5,0.5,4.5,0.0,6.0,linear
19,115853,38015,0.0399352,0.544258,0.746796,0.5,0.5,4.5,0.0,6.0,linear
20,115983,36402,0.0551233,0.574833,0.785101,0.5,0.5,4.5,0.0,6.0,linear
21,115797,34875,0.070605,0.602508,0.816423,0.5,0.5,4.5,0.0,6.0,linear
22,114509,33001,0.0860675,0.627634,0.843952,0.5,0.5,4.5,0.0,6.0,linear
23,113754,31244,0.10019,0.651239,0.868461,0.5,0.5,4.5,0.0,6.0,linear
24,112693,29561,0.114987,0.668536,0.887045,0.5,0.5,4.5,0.0,6.0,linear
25,112225,28368,0.12813,0.685578,0.903767,0.5,0.5,4.5,0.0,6.0,linear
26,110647,26918,0.139731,0.699942,0.917594,0.5,0.5,4.5,0.0,6.0,linear
27,109380,25628,0.150729,0.713021,0.93083,0.5,0.5,4.5,0.0,6.0,linear
28,108088,24532,0.160897,0.723488,0.942044,0.5,0.5,4.5,0.0,6.0,linear
29,106658,23538,0.169227,0.734591,0.952375,0.5,0.5,4.5,0.0,6.0,linear
30,105073,22481,0.176708,0.742793,0.960852,0.5,0.5,4.5,0.0,6.0,linear
31,104188,21649,0.18251,0.750636,0.96823,0.5,0.5,4.5,0.0,6.0,linear
32,102900,20733,0.188235,0.757406,0.974297,0.5,0.5,4.5,0.0,6.0,linear
33,101019,20062,0.191887,0.763328,0.978991,0.5,0.5,4.5,0.0,6.0,linear
34,99904,19285,0.195321,0.768113,0.983057,0.5,0.5,4.5,0.0,6.0,linear
35,98539,18604,0.199165,0.771792,0.986356,0.5,0.5,4.5,0.0,6.0,linear
36,97232,18168,0.200702,0.776321,0.989415,0.5,0.5,4.5,0.0,6.0,linear
37,95967,17733,0.203259,0.778485,0.991492,0.5,0.5,4.5,0.0,6.0,linear
38,95160,17377,0.204203,0.781357,0.993426,0.5,0.5,4.5,0.0,6.0,linear
39,94467,17090,0.205022,0.783399,0.994892,0.5,0.5,4.5,0.0,6.0,linear
40,93846,16733,0.206138,0.784748,0.995805,0.5,0.5,4.5,0.0,6.0,linear
41,92793,16371,0.206403,0.786391,0.996677,0.5,0.5,4.5,0.0,6.0,linear
42,92245,16024,0.206464,0.787746,0.997475,0.5,0.5,4.5,0.0,6.0,linear
43,91866,15864,0.206619,0.788621,0.997985,0.5,0.5,4.5,0.0,6.0,linear
44,90766,15587,0.206989,0.789314,0.998254,0.5,0.5,4.5,0.0,6.0,linear
45,90393,15554,0.206639,0.790341,0.998646,0.5,0.5,4.5,0.0,6.0,linear
46,90756,15538,0.206561,0.79085,0.998776,0.5,0.5,4.5,0.0,6.0,linear
47,89804,15313,0.205918,0.792177,0.999025,0.5,0.5,4.5,0.0,6.0,linear
48,89507,15130,0.206819,0.791668,0.999191,0.5,0.5,4.5,0.0,6.0,linear
49,89766,15027,0.205998,0.792746,0.999311,0.5,0.5,4.5,0.0,6.0,linear
50,89682,15026,0.206199,0.792882,0.999464,0.5,0.5,4.5,0.0,6.0,linear
51,88795,14908,0.20581,0.793491,0.999681,0.5,0.5,4.5,0.0,6.0,linear
52,88830,14833,0.204623,0.794868,0.999778,0.5,0.5,4.5,0.0,6.0,linear
53,88196,14753,0.20457,0.795031,0.999868,0.5,0.5,4.5,0.0,6.0,linear
54,88550,14695,0.205046,0.794645,0.999868,0.5,0.5,4.5,0.0,6.0,linear
55,88377,14629,0.20473,0.794975,0.999893,0.5,0.5,4.5,0.0,6.0,linear
56,88407,14553,0.205506,0.794259,0.999926,0.5,0.5,4.5,0.0,6.0,linear
57,88242,14378,0.204281,0.795545,0.999959,0.5,0.5,4.5,0.0,6.0,linear
58,87926,14417,0.203253,0.796589,0.999942,0.5,0.5,4.5,0.0,6.0,linear
59,87575,14414,0.204412,0.79545,0.99995,0.5,0.5,4.5,0.0,6.0,linear
60,87052,14411,0.204915,0.794964,0.999925,0.5,0.5,4.5,0.0,6.0,linear
61,86821,14285,0.204497,0.795411,0.999942,0.5,0.5,4.5,0.0,6.0,linear
62,87237,14402,0.203594,0.796339,0.999958,0.5,0.5,4.5,0.0,6.0,linear
63,87127,14316,0.20321,0.796739,0.999992,0.5,0.5,4.5,0.0,6.0,linear
64,87414,14372,0.203652,0.796311,0.999992,0.5,0.5,4.5,0.0,6.0,linear
65,87628,14251,0.203985,0.795994,1.0,0.5,0.5,4.5,0.0,6.0,linear
66,87435,14325,0.203902,0.796081,1.0,0.5,0.5,4.5,0.0,6.0,linear
67,87453,14396,0.203727,0.796264,1.0,0.5,0.5,4.5,0.0,6.0,linear
68,87429,14253,0.202547,0.797453,1.0,0.5,0.5,4.5,0.0,6.0,linear
69,87223,14231,0.202939,0.797061,1.0,0.5,0.5,4.5,0.0,6.0,linear
70,86854,14135,0.203377,0.796623,1.0,0.5,0.5,4.5,0.0,6.0,linear
71,86998,14040,0.202363,0.797637,1.0,0.5,0.5,4.5,0.0,6.0,linear
72,86695,14171,0.202798,0.797202,1.0,0.5,0.5,4.5,0.0,6.0,linear
73,86810,14224,0.202922,0.797078,1.0,0.5,0.5,4.5,0.0,6.0,linear
74,86810,14240,0.202395,0.797605,1.0,0.5,0.5,4.5,0.0,6.0,linear
75,87283,14181,0.202988,0.797012,1.0,0.5,0.5,4.5,0.0,6.0,linear
76,87676,14342,0.203037,0.796963,1.0,0.5,0.5,4.5,0.0,6.0,linear
77,87106,14246,0.204201,0.795799,1.0,0.5,0.5,4.5,0.0,6.0,linear
78,87478,14341,0.203259,0.796741,1.0,0.5,0.5,4.5,0.0,6.0,linear
79,86868,14278,0.203056,0.796944,1.0,0.5,0.5,4.5,0.0,6.0,linear
80,87074,14370,0.203846,0.796154,1.0,0.5,0.5,4.5,0.0,6.0,linear
81,86780,14309,0.203989,0.796011,1.0,0.5,0.5,4.5,0.0,6.0,linear
82,87519,14276,0.202643,0.797357,1.0,0.5,0.5,4.5,0.0,6.0,linear
83,87362,14288,0.202434,0.797566,1.0,0.5,0.5,4.5,0.0,6.0,linear
84,87196,14282,0.203108,0.796892,1.0,0.5,0.5,4.5,0.0,6.0,linear
85,87003,14212,0.203659,0.796341,1.0,0.5,0.5,4.5,0.0,6.0,linear
86,87467,14283,0.202977,0.797023,1.0,0.5,0.5,4.5,0.0,6.0,linear
87,87201,14267,0.20191,0.79809,1.0,0.5,0.5,4.5,0.0,6.0,linear
88,86841,14307,0.2021,0.7979,1.0,0.5,0.5,4.5,0.0,6.0,linear
89,87046,14334,0.203177,0.796823,1.0,0.5,0.5,4.5,0.0,6.0,linear
90,86924,14295,0.20525,0.79475,1.0,0.5,0.5,4.5,0.0,6.0,linear
91,87552,14603,0.204587,0.795413,1.0,0.5,0.5,4.5,0.0,6.0,linear
92,87027,14414,0.204426,0.795574,1.0,0.5,0.5,4.5,0.0,6.0,linear
93,87621,14536,0.204481,0.795519,1.0,0.5,0.5,4.5,0.0,6.0,linear
94,87457,14479,0.20375,0.79625,1.0,0.5,0.5,4.5,0.0,6.0,linear
95,87693,14572,0.203897,0.796103,1.0,0.5,0.5,4.5,0.0,6.0,linear
96,87670,14395,0.204404,0.795596,1.0,0.5,0.5,4.5,0.0,6.0,linear
97,87615,14446,0.20426,0.79574,1.0,0.5,0.5,4.5,0.0,6.0,linear
98,87905,14377,0.203564,0.796436,1.0,0.5,0.5,4.5,0.0,6.0,linear
99,88009,14492,0.20209,0.79791,1.0,0.5,0.5,4.5,0.0,6.0,linear
100,87393,14497,0.202327,0.797673,1.0,0.5,0.5,4.5,0.0,6.0,linear
101,87505,14495,0.20282,0.79718,1.0,0.5,0.5,4.5,0.0,6.0,linear
102,87370,14418,0.203504,0.796496,1.0,0.5,0.5,4.5,0.0,6.0,linear
103,87685,14293,0.204285,0.795715,1.0,0.5,0.5,4.5,0.0,6.0,linear
104,87700,14236,0.203087,0.796913,1.0,0.5,0.5,4.5,0.0,6.0,linear
105,87522,14208,0.202864,0.797136,1.0,0.5,0.5,4.5,0.0,6.0,linear
106,87294,14177,0.202827,0.797173,1.0,0.5,0.5,4.5,0.0,6.0,linear
107,87160,14125,0.203839,0.796161,1.0,0.5,0.5,4.5,0.0,6.0,linear
108,87710,14208,0.203458,0.796542,1.0,0.5,0.5,4.5,0.0,6.0,linear
109,87061,14191,0.203476,0.796524,1.0,0.5,0.5,4.5,0.0,6.0,linear
110,86917,14209,0.203877,0.796123,1.0,0.5,0.5,4.5,0.0,6.0,linear
111,87237,14210,0.2031,0.7969,1.0,0.5,0.5,4.5,0.0,6.0,linear
112,87084,14226,0.203564,0.796436,1.0,0.5,0.5,4.5,0.0,6.0,linear
113,86980,14288,0.202721,0.797279,1.0,0.5,0.5,4.5,0.0,6.0,linear
114,86905,14213,0.202144,0.797856,1.0,0.5,0.5,4.5,0.0,6.0,linear
115,87145,14305,0.20167,0.79833,1.0,0.5,0.5,4.5,0.0,6.0,linear
116,86762,14282,0.202483,0.797517,1.0,0.5,0.5,4.5,0.0,6.0,linear
117,86858,14292,0.203648,0.796352,1.0,0.5,0.5,4.5,0.0,6.0,linear
118,87579,14307,0.203931,0.796069,1.0,0.5,0.5,4.5,0.0,6.0,linear
119,87679,14301,0.203709,0.796291,1.0,0.5,0.5,4.5,0.0,6.0,linear
120,87908,14359,0.203273,0.796727,1.0,0.5,0.5,4.5,0.0,6.0,linear
121,87349,14255,0.202795,0.797205,1.0,0.5,0.5,4.5,0.0,6.0,linear
122,86837,14297,0.204389,0.795611,1.0,0.5,0.5,4.5,0.0,6.0,linear
123,87159,14394,0.203196,0.796804,1.0,0.5,0.5,4.5,0.0,6.0,linear
124,87241,14237,0.201969,0.798031,1.0,0.5,0.5,4.5,0.0,6.0,linear
125,87615,14421,0.20272,0.79728,1.0,0.5,0.5,4.5,0.0,6.0,linear
126,87261,14442,0.203191,0.796809,1.0,0.5,0.5,4.5,0.0,6.0,linear
127,87181,14308,0.203464,0.796536,1.0,0.5,0.5,4.5,0.0,6.0,linear
128,87519,14453,0.203202,0.796798,1.0,0.5,0.5,4.5,0.0,6.0,linear
129,87187,14260,0.202583,0.797417,1.0,0.5,0.5,4.5,0.0,6.0,linear
130,87429,14301,0.203913,0.796087,1.0,0.5,0.5,4.5,0.0,6.0,linear
131,87139,14335,0.204182,0.795818,1.0,0.5,0.5,4.5,0.0,6.0,linear
132,87564,14255,0.204495,0.795505,1.0,0.5,0.5,4.5,0.0,6.0,linear
133,87443,14285,0.204541,0.795459,1.0,0.5,0.5,4.5,0.0,6.0,linear
134,87374,14274,0.204405,0.795595,1.0,0.5,0.5,4.5,0.0,6.0,linear
135,87343,14323,0.20434,0.79566,1.0,0.5,0.5,4.5,0.0,6.0,linear
136,87476,14439,0.204419,0.795581,1.0,0.5,0.5,4.5,0.0,6.0,linear
137,87126,14287,0.204309,0.795691,1.0,0.5,0.5,4.5,0.0,6.0,linear
138,87403,14333,0.204437,0.795563,1.0,0.5,0.5,4.5,0.0,6.0,linear
139,87329,14465,0.205082,0.794918,1.0,0.5,0.5,4.5,0.0,6.0,linear
140,87590,14347,0.204948,0.795052,1.0,0.5,0.5,4.5,0.0,6.0,linear
141,87268,14475,0.204975,0.795025,1.0,0.5,0.5,4.5,0.0,6.0,linear
142,87341,14465,0.204841,0.795159,1.0,0.5,0.5,4.5,0.0,6.0,linear
143,87519,14459,0.20402,0.79598,1.0,0.5,0.5,4.5,0.0,6.0,linear
144,87217,14330,0.203181,0.796819,1.0,0.5,0.5,4.5,0.0,6.0,linear
145,87485,14229,0.20232,0.79768,1.0,0.5,0.5,4.5,0.0,6.0,linear
146,87487,14102,0.202256,0.797744,1.0,0.5,0.5,4.5,0.0,6.0,linear
147,87164,14000,0.202156,0.797844,1.0,0.5,0.5,4.5,0.0,6.0,linear
148,86859,14097,0.202105,0.797895,1.0,0.5,0.5,4.5,0.0,6.0,linear
149,86024,14055,0.202842,0.797158,1.0,0.5,0.5,4.5,0.0,6.0,linear
150,86165,14066,0.202043,0.797957,1.0,0.5,0.5,4.5,0.0,6.0,linear
151,86592,14025,0.202567,0.797433,1.0,0.5,0.5,4.5,0.0,6.0,linear
152,86652,14115,0.202496,0.797504,1.0,0.5,0.5,4.5,0.0,6.0,linear
153,86616,14194,0.203373,0.796627,1.0,0.5,0.5,4.5,0.0,6.0,linear
154,86772,14151,0.203198,0.796802,1.0,0.5,0.5,4.5,0.0,6.0,linear
155,87395,14251,0.202934,0.797066,1.0,0.5,0.5,4.5,0.0,6.0,linear
156,86763,14232,0.202855,0.797145,1.0,0.5,0.5,4.5,0.0,6.0,linear
157,87131,14230,0.203767,0.796233,1.0,0.5,0.5,4.5,0.0,6.0,linear
158,87016,14221,0.204112,0.795888,1.0,0.5,0.5,4.5,0.0,6.0,linear
159,87197,14257,0.203729,0.796271,1.0,0.5,0.5,4.5,0.0,6.0,linear
160,87205,14350,0.204191,0.795809,1.0,0.5,0.5,4.5,0.0,6.0,linear
161,86946,14319,0.20323,0.79677,1.0,0.5,0.5,4.5,0.0,6.0,linear
162,87379,14298,0.202412,0.797588,1.0,0.5,0.5,4.5,0.0,6.0,linear
163,87080,14265,0.20341,0.79659,1.0,0.5,0.5,4.5,0.0,6.0,linear
164,87596,14259,0.202611,0.797389,1.0,0.5,0.5,4.5,0.0,6.0,linear
165,87186,14288,0.203078,0.796922,1.0,0.5,0.5,4.5,0.0,6.0,linear
166,87267,14353,0.20351,0.79649,1.0,0.5,0.5,4.5,0.0,6.0,linear
167,87555,14330,0.204083,0.795917,1.0,0.5,0.5,4.5,0.0,6.0,linear
168,87493,14344,0.20349,0.79651,1.0,0.5,0.5,4.5,0.0,6.0,linear
169,86997,14261,0.204597,0.795403,1.0,0.5,0.5,4.5,0.0,6.0,linear
