generation,size,female_size,rate_r2,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78359,49147,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
2,78121,48982,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
3,79817,50097,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
4,81031,51205,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
5,79383,50648,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
6,77737,49863,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
7,76794,49219,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
8,78234,49697,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
9,78253,49463,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
10,79457,49842,0.0,0.0,0.0,0.5,0.5,1.0,0.0,6.0,linear
11,85553,50087,0.0,0.0529869,0.0529869,0.5,0.5,1.0,0.0,6.0,linear
12,87976,50004,0.0,0.0843587,0.0911784,0.5,0.5,1.0,0.0,6.0,linear
13,87529,49847,0.0,0.0961981,0.115088,0.5,0.5,1.0,0.0,6.0,linear
14,86915,49000,0.0,0.112225,0.14683,0.5,0.5,1.0,0.0,6.0,linear
15,86146,47946,0.0,0.130569,0.184003,0.5,0.5,1.0,0.0,6.0,linear
16,86509,47272,0.0,0.150095,0.222018,0.5,0.5,1.0,0.0,6.0,linear
17,87391,46967,0.0,0.170588,0.262156,0.5,0.5,1.0,0.0,6.0,linear
18,89235,46864,0.0,0.192617,0.303038,0.5,0.5,1.0,0.0,6.0,linear
19,90729,46737,0.0,0.211665,0.337731,0.5,0.5,1.0,0.0,6.0,linear
20,91411,46474,0.0,0.231184,0.371203,0.5,0.5,1.0,0.0,6.0,linear
21,91432,46070,0.0,0.248631,0.402251,0.5,0.5,1.0,0.0,6.0,linear
22,91509,45482,0.0,0.269587,0.435486,0.5,0.5,1.0,0.0,6.0,linear
23,91421,44831,0.0,0.287394,0.465067,0.5,0.5,1.0,0.0,6.0,linear
24,91512,43954,0.0,0.308447,0.498524,0.5,0.5,1.0,0.0,6.0,linear
25,91367,42732,0.0,0.329384,0.529463,0.5,0.5,1.0,0.0,6.0,linear
26,91337,41971,0.0,0.351079,0.561396,0.5,0.5,1.0,0.0,6.0,linear
27,91399,41043,0.0,0.371961,0.590487,0.5,0.5,1.0,0.0,6.0,linear
28,90721,39850,0.0,0.394529,0.620919,0.5,0.5,1.0,0.0,6.0,linear
29,89757,38329,0.0,0.416719,0.650718,0.5,0.5,1.0,0.0,6.0,linear
30,88966,36829,0.0,0.440253,0.680016,0.5,0.5,1.0,0.0,6.0,linear
31,87525,35271,0.0,0.463046,0.70837,0.5,0.5,1.0,0.0,6.0,linear
32,85740,33507,0.0,0.487768,0.735989,0.5,0.5,1.0,0.0,6.0,linear
33,83865,31618,0.0,0.514284,0.764056,0.5,0.5,1.0,0.0,6.0,linear
34,81751,29737,0.0,0.539299,0.78994,0.5,0.5,1.0,0.0,6.0,linear
35,79367,27676,0.0,0.565654,0.816679,0.5,0.5,1.0,0.0,6.0,linear
36,76675,25504,0.0,0.591546,0.840576,0.5,0.5,1.0,0.0,6.0,linear
37,73427,23257,0.0,0.621165,0.86453,0.5,0.5,1.0,0.0,6.0,linear
38,70015,20914,0.0,0.650406,0.886838,0.5,0.5,1.0,0.0,6.0,linear
39,65454,18500,0.0,0.67984,0.907656,0.5,0.5,1.0,0.0,6.0,linear
40,61909,16079,0.0,0.709775,0.925028,0.5,0.5,1.0,0.0,6.0,linear
41,57070,13754,0.0,0.738289,0.940179,0.5,0.5,1.0,0.0,6.0,linear
42,51788,11530,0.0,0.765109,0.952112,0.5,0.5,1.0,0.0,6.0,linear
43,46826,9547,0.0,0.792763,0.963609,0.5,0.5,1.0,0.0,6.0,linear
44,41729,7539,0.0,0.817875,0.973423,0.5,0.5,1.0,0.0,6.0,linear
45,36811,5926,0.0,0.841454,0.980285,0.5,0.5,1.0,0.0,6.0,linear
46,31964,4493,0.0,0.864858,0.986256,0.5,0.5,1.0,0.0,6.0,linear
47,27708,3285,0.0,0.887615,0.990487,0.5,0.5,1.0,0.0,6.0,linear
48,23994,2374,0.0,0.910621,0.993388,0.5,0.5,1.0,0.0,6.0,linear
49,20145,1594,0.0,0.930239,0.995603,0.5,0.5,1.0,0.0,6.0,linear
50,17197,1073,0.0,0.947917,0.997376,0.5,0.5,1.0,0.0,6.0,linear
51,14513,681,0.0,0.961953,0.99866,0.5,0.5,1.0,0.0,6.0,linear
52,12877,395,0.0,0.974995,0.999246,0.5,0.5,1.0,0.0,6.0,linear
53,11700,230,0.0,0.984858,0.999609,0.5,0.5,1.0,0.0,6.0,linear
54,10778,113,0.0,0.991453,1.0,0.5,0.5,1.0,0.0,6.0,linear
55,9995,60,0.0,0.995583,1.0,0.5,0.5,1.0,0.0,6.0,linear
56,9608,24,0.0,0.998153,1.0,0.5,0.5,1.0,0.0,6.0,linear
57,9444,7,0.0,0.999474,1.0,0.5,0.5,1.0,0.0,6.0,linear
58,9114,6,0.0,0.999672,1.0,0.5,0.5,1.0,0.0,6.0,linear
59,9022,1,0.0,0.999945,1.0,0.5,0.5,1.0,0.0,6.0,linear
60,8966,0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,6.0,linear

