generation,size,female_size,rate_r2,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78502,49440,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
2,78871,49646,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
3,79139,50022,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
4,79328,50314,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
5,77863,49803,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
6,76939,49546,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
7,78282,50051,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
8,78583,49862,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
9,78565,49802,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
10,79212,50302,0.0,0.0,0.0,0.5,0.5,2.0,0.0,6.0,linear
11,90144,49874,0.0,0.100663,0.100663,0.5,0.5,2.0,0.0,6.0,linear
12,96702,49944,0.0,0.155153,0.166236,0.5,0.5,2.0,0.0,6.0,linear
13,96224,49116,0.0,0.174251,0.203828,0.5,0.5,2.0,0.0,6.0,linear
14,94144,47183,0.00049121,0.197558,0.250933,0.5,0.5,2.0,0.0,6.0,linear
15,93494,45762,0.00207095,0.222746,0.301924,0.5,0.5,2.0,0.0,6.0,linear
16,94010,44474,0.00531798,0.251028,0.354901,0.5,0.5,2.0,0.0,6.0,linear
17,93559,42636,0.0110992,0.277267,0.405923,0.5,0.5,2.0,0.0,6.0,linear
18,94031,41510,0.0191877,0.300762,0.448442,0.5,0.5,2.0,0.0,6.0,linear
19,94292,40120,0.0295802,0.321574,0.484839,0.5,0.5,2.0,0.0,6.0,linear
20,94869,39230,0.0408558,0.342004,0.518501,0.5,0.5,2.0,0.0,6.0,linear
21,94921,38211,0.0546688,0.359518,0.546257,0.5,0.5,2.0,0.0,6.0,linear
22,94427,37217,0.0688977,0.377453,0.572706,0.5,0.5,2.0,0.0,6.0,linear
23,94205,36305,0.0827563,0.394299,0.598873,0.5,0.5,2.0,0.0,6.0,linear
24,93882,35131,0.0968763,0.409982,0.622091,0.5,0.5,2.0,0.0,6.0,linear
25,93798,34244,0.110724,0.424409,0.642076,0.5,0.5,2.0,0.0,6.0,linear
26,93338,33253,0.123225,0.437147,0.660505,0.5,0.5,2.0,0.0,6.0,linear
27,93028,32465,0.134841,0.450245,0.678449,0.5,0.5,2.0,0.0,6.0,linear
28,92221,31526,0.145621,0.462954,0.696481,0.5,0.5,2.0,0.0,6.0,linear
29,91929,30704,0.156033,0.473929,0.712764,0.5,0.5,2.0,0.0,6.0,linear
30,90907,29738,0.165065,0.486737,0.72934,0.5,0.5,2.0,0.0,6.0,linear
31,90115,28805,0.173205,0.496717,0.74284,0.5,0.5,2.0,0.0,6.0,linear
32,89310,27904,0.18057,0.508421,0.756963,0.5,0.5,2.0,0.0,6.0,linear
33,88037,26881,0.187496,0.518494,0.769403,0.5,0.5,2.0,0.0,6.0,linear
34,86996,25931,0.194032,0.528762,0.780806,0.5,0.5,2.0,0.0,6.0,linear
35,85791,24981,0.199499,0.53822,0.792633,0.5,0.5,2.0,0.0,6.0,linear
36,84830,24189,0.203409,0.548285,0.803237,0.5,0.5,2.0,0.0,6.0,linear
37,83693,23427,0.208056,0.557093,0.813547,0.5,0.5,2.0,0.0,6.0,linear
38,82319,22470,0.209901,0.566811,0.823897,0.5,0.5,2.0,0.0,6.0,linear
39,80783,21576,0.211775,0.576145,0.834679,0.5,0.5,2.0,0.0,6.0,linear
40,79265,20706,0.213525,0.584626,0.843237,0.5,0.5,2.0,0.0,6.0,linear
41,77901,19880,0.215577,0.591665,0.851183,0.5,0.5,2.0,0.0,6.0,linear
42,76960,19095,0.216889,0.60033,0.859601,0.5,0.5,2.0,0.0,6.0,linear
43,75142,18349,0.217477,0.609479,0.869386,0.5,0.5,2.0,0.0,6.0,linear
44,73884,17584,0.218661,0.616741,0.877966,0.5,0.5,2.0,0.0,6.0,linear
45,72027,16861,0.219005,0.623942,0.885151,0.5,0.5,2.0,0.0,6.0,linear
46,70293,15983,0.219946,0.630541,0.892065,0.5,0.5,2.0,0.0,6.0,linear
47,68682,15229,0.219554,0.638891,0.898306,0.5,0.5,2.0,0.0,6.0,linear
48,67239,14511,0.218495,0.649249,0.905368,0.5,0.5,2.0,0.0,6.0,linear
49,65614,13753,0.217863,0.657094,0.909972,0.5,0.5,2.0,0.0,6.0,linear
50,63809,13068,0.220058,0.662713,0.915786,0.5,0.5,2.0,0.0,6.0,linear
51,62061,12300,0.218558,0.669786,0.920912,0.5,0.5,2.0,0.0,6.0,linear
52,60174,11677,0.217701,0.676422,0.926394,0.5,0.5,2.0,0.0,6.0,linear
53,58494,11012,0.215542,0.683997,0.931443,0.5,0.5,2.0,0.0,6.0,linear
54,57144,10508,0.214889,0.689797,0.93585,0.5,0.5,2.0,0.0,6.0,linear
55,55409,9918,0.212008,0.698405,0.940771,0.5,0.5,2.0,0.0,6.0,linear
56,54065,9368,0.209662,0.706017,0.945716,0.5,0.5,2.0,0.0,6.0,linear
57,52311,8873,0.207844,0.713695,0.949467,0.5,0.5,2.0,0.0,6.0,linear
58,50798,8321,0.206425,0.720899,0.954265,0.5,0.5,2.0,0.0,6.0,linear
59,48999,7870,0.205105,0.727235,0.957845,0.5,0.5,2.0,0.0,6.0,linear
60,47892,7447,0.201851,0.735407,0.96142,0.5,0.5,2.0,0.0,6.0,linear
61,46333,6943,0.199785,0.74146,0.965433,0.5,0.5,2.0,0.0,6.0,linear
62,45059,6589,0.196272,0.750535,0.968927,0.5,0.5,2.0,0.0,6.0,linear
63,43456,6067,0.193991,0.758184,0.972906,0.5,0.5,2.0,0.0,6.0,linear
64,41821,5685,0.1918,0.764352,0.975716,0.5,0.5,2.0,0.0,6.0,linear
65,40420,5304,0.189165,0.771211,0.978437,0.5,0.5,2.0,0.0,6.0,linear
66,39415,4921,0.185194,0.779607,0.981193,0.5,0.5,2.0,0.0,6.0,linear
67,38092,4500,0.181965,0.786653,0.9839,0.5,0.5,2.0,0.0,6.0,linear
68,36932,4156,0.177368,0.79601,0.986774,0.5,0.5,2.0,0.0,6.0,linear
69,35580,3921,0.174523,0.802107,0.989329,0.5,0.5,2.0,0.0,6.0,linear
70,34387,3568,0.168853,0.811668,0.991372,0.5,0.5,2.0,0.0,6.0,linear
71,33273,3258,0.166159,0.81703,0.992356,0.5,0.5,2.0,0.0,6.0,linear
72,32250,2984,0.161395,0.825257,0.993512,0.5,0.5,2.0,0.0,6.0,linear
73,31166,2662,0.154888,0.833121,0.99451,0.5,0.5,2.0,0.0,6.0,linear
74,30056,2463,0.149323,0.840646,0.994905,0.5,0.5,2.0,0.0,6.0,linear
75,28737,2253,0.143826,0.847676,0.995717,0.5,0.5,2.0,0.0,6.0,linear
76,27917,2042,0.136834,0.855953,0.996702,0.5,0.5,2.0,0.0,6.0,linear
77,27119,1876,0.130094,0.863806,0.997566,0.5,0.5,2.0,0.0,6.0,linear
78,26381,1699,0.126523,0.868144,0.998299,0.5,0.5,2.0,0.0,6.0,linear
79,25694,1555,0.119039,0.876586,0.998579,0.5,0.5,2.0,0.0,6.0,linear
80,25001,1432,0.11293,0.883244,0.998897,0.5,0.5,2.0,0.0,6.0,linear
81,24391,1327,0.105504,0.891343,0.999234,0.5,0.5,2.0,0.0,6.0,linear
82,23972,1186,0.0988815,0.898885,0.999678,0.5,0.5,2.0,0.0,6.0,linear
83,23256,1085,0.0969512,0.901337,0.999705,0.5,0.5,2.0,0.0,6.0,linear
84,23030,980,0.0927122,0.90648,0.999812,0.5,0.5,2.0,0.0,6.0,linear
85,22815,911,0.0853879,0.914189,0.999885,0.5,0.5,2.0,0.0,6.0,linear
86,22303,838,0.0804246,0.919299,0.99996,0.5,0.5,2.0,0.0,6.0,linear
87,21819,745,0.073427,0.926327,0.999959,0.5,0.5,2.0,0.0,6.0,linear
88,21557,694,0.068179,0.931549,1.0,0.5,0.5,2.0,0.0,6.0,linear
89,21190,638,0.0647468,0.935104,1.0,0.5,0.5,2.0,0.0,6.0,linear
90,20858,573,0.0603313,0.939538,1.0,0.5,0.5,2.0,0.0,6.0,linear
91,20597,509,0.0558707,0.94404,1.0,0.5,0.5,2.0,0.0,6.0,linear
92,20444,459,0.0521992,0.947733,1.0,0.5,0.5,2.0,0.0,6.0,linear
93,20451,422,0.0478707,0.952084,1.0,0.5,0.5,2.0,0.0,6.0,linear
94,20195,380,0.0447872,0.95519,1.0,0.5,0.5,2.0,0.0,6.0,linear
95,19758,336,0.0407074,0.959293,1.0,0.5,0.5,2.0,0.0,6.0,linear
96,19690,322,0.0388389,0.961161,1.0,0.5,0.5,2.0,0.0,6.0,linear
97,19511,303,0.0360093,0.963991,1.0,0.5,0.5,2.0,0.0,6.0,linear
98,19335,289,0.0317271,0.968273,1.0,0.5,0.5,2.0,0.0,6.0,linear
99,19157,258,0.0295703,0.97043,1.0,0.5,0.5,2.0,0.0,6.0,linear
100,19366,241,0.0270838,0.972916,1.0,0.5,0.5,2.0,0.0,6.0,linear
101,19211,213,0.0258147,0.974185,1.0,0.5,0.5,2.0,0.0,6.0,linear
102,19034,194,0.0258121,0.974188,1.0,0.5,0.5,2.0,0.0,6.0,linear
103,19022,174,0.0224785,0.977522,1.0,0.5,0.5,2.0,0.0,6.0,linear
104,19125,163,0.0198037,0.980196,1.0,0.5,0.5,2.0,0.0,6.0,linear
105,18707,127,0.0179232,0.982077,1.0,0.5,0.5,2.0,0.0,6.0,linear
106,18640,106,0.0149305,0.98507,1.0,0.5,0.5,2.0,0.0,6.0,linear
107,18664,95,0.0129034,0.987097,1.0,0.5,0.5,2.0,0.0,6.0,linear
108,18576,93,0.0118896,0.98811,1.0,0.5,0.5,2.0,0.0,6.0,linear
109,18341,88,0.012103,0.987897,1.0,0.5,0.5,2.0,0.0,6.0,linear
110,18403,83,0.0104936,0.989506,1.0,0.5,0.5,2.0,0.0,6.0,linear
111,18407,68,0.0117735,0.988227,1.0,0.5,0.5,2.0,0.0,6.0,linear
112,18394,77,0.0100048,0.989995,1.0,0.5,0.5,2.0,0.0,6.0,linear
113,18441,74,0.00989967,0.9901,1.0,0.5,0.5,2.0,0.0,6.0,linear
114,18406,67,0.0101642,0.989836,1.0,0.5,0.5,2.0,0.0,6.0,linear
115,18466,70,0.00953017,0.99047,1.0,0.5,0.5,2.0,0.0,6.0,linear
116,18487,64,0.00847412,0.991526,1.0,0.5,0.5,2.0,0.0,6.0,linear
117,18567,61,0.00820543,0.991795,1.0,0.5,0.5,2.0,0.0,6.0,linear
118,18438,50,0.00684196,0.993158,1.0,0.5,0.5,2.0,0.0,6.0,linear
119,18377,43,0.00604491,0.993955,1.0,0.5,0.5,2.0,0.0,6.0,linear
120,18170,37,0.00559101,0.994409,1.0,0.5,0.5,2.0,0.0,6.0,linear
121,18186,30,0.00466932,0.995331,1.0,0.5,0.5,2.0,0.0,6.0,linear
