drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.625,6.5,0.5,6.0,linear,65.000
0.625,7.0,0.5,6.0,linear,59.750
0.625,7.5,0.5,6.0,linear,54.900
0.625,8.0,0.5,6.0,linear,52.600
0.625,8.5,0.5,6.0,linear,49.700
0.625,9.0,0.5,6.0,linear,46.900
0.625,9.5,0.5,6.0,linear,45.250
0.650,0.0,0.5,6.0,linear,NAN
0.650,0.5,0.5,6.0,linear,NAN
0.650,1.0,0.5,6.0,linear,NAN
0.650,1.5,0.5,6.0,linear,NAN
0.650,10.0,0.5,6.0,linear,42.900
0.650,2.0,0.5,6.0,linear,NAN
0.650,2.5,0.5,6.0,linear,NAN
0.650,3.0,0.5,6.0,linear,NAN
0.650,3.5,0.5,6.0,linear,NAN
0.650,4.0,0.5,6.0,linear,NAN
0.650,4.5,0.5,6.0,linear,290.333
0.650,5.0,0.5,6.0,linear,110.550
0.650,5.5,0.5,6.0,linear,82.650
0.650,6.0,0.5,6.0,linear,69.400
0.650,6.5,0.5,6.0,linear,62.450
0.650,7.0,0.5,6.0,linear,57.050
0.650,7.5,0.5,6.0,linear,53.000
0.650,8.0,0.5,6.0,linear,50.300
0.650,8.5,0.5,6.0,linear,48.150
0.650,9.0,0.5,6.0,linear,45.900
0.650,9.5,0.5,6.0,linear,44.350
0.675,0.0,0.5,6.0,linear,NAN
0.675,0.5,0.5,6.0,linear,NAN
0.675,1.0,0.5,6.0,linear,NAN
0.675,1.5,0.5,6.0,linear,NAN
0.675,10.0,0.5,6.0,linear,41.750
0.675,2.0,0.5,6.0,linear,NAN
0.675,2.5,0.5,6.0,linear,NAN
0.675,3.0,0.5,6.0,linear,NAN
0.675,3.5,0.5,6.0,linear,NAN
0.675,4.0,0.5,6.0,linear,NAN
0.675,4.5,0.5,6.0,linear,173.650
0.675,5.0,0.5,6.0,linear,96.850
0.675,5.5,0.5,6.0,linear,77.050
0.675,6.0,0.5,6.0,linear,65.750
0.675,6.5,0.5,6.0,linear,60.100
0.675,7.0,0.5,6.0,linear,55.000
0.675,7.5,0.5,6.0,linear,52.150
0.675,8.0,0.5,6.0,linear,49.700
0.675,8.5,0.5,6.0,linear,46.950
0.675,9.0,0.5,6.0,linear,45.200
0.675,9.5,0.5,6.0,linear,42.750
0.700,0.0,0.5,6.0,linear,NAN
0.700,0.5,0.5,6.0,linear,NAN
0.700,1.0,0.5,6.0,linear,NAN
0.700,1.5,0.5,6.0,linear,NAN
0.700,10.0,0.5,6.0,linear,42.550
0.700,2.0,0.5,6.0,linear,NAN
0.700,2.5,0.5,6.0,linear,NAN
0.700,3.0,0.5,6.0,linear,NAN
0.700,3.5,0.5,6.0,linear,NAN
0.700,4.0,0.5,6.0,linear,NAN
0.700,4.5,0.5,6.0,linear,129.800
0.700,5.0,0.5,6.0,linear,87.100
0.700,5.5,0.5,6.0,linear,71.700
0.700,6.0,0.5,6.0,linear,63.000
0.700,6.5,0.5,6.0,linear,57.600
0.700,7.0,0.5,6.0,linear,53.400
0.700,7.5,0.5,6.0,linear,50.800
0.700,8.0,0.5,6.0,linear,48.150
0.700,8.5,0.5,6.0,linear,45.850
0.700,9.0,0.5,6.0,linear,44.650
0.700,9.5,0.5,6.0,linear,42.950
0.725,0.0,0.5,6.0,linear,NAN
0.725,0.5,0.5,6.0,linear,NAN
0.725,1.0,0.5,6.0,linear,NAN
0.725,1.5,0.5,6.0,linear,NAN
0.725,10.0,0.5,6.0,linear,40.150
0.725,2.0,0.5,6.0,linear,NAN
0.725,2.5,0.5,6.0,linear,NAN
0.725,3.0,0.5,6.0,linear,NAN
0.725,3.5,0.5,6.0,linear,NAN
0.725,4.0,0.5,6.0,linear,NAN
0.725,4.5,0.5,6.0,linear,109.400
0.725,5.0,0.5,6.0,linear,80.600
0.725,5.5,0.5,6.0,linear,68.150
0.725,6.0,0.5,6.0,linear,61.250
0.725,6.5,0.5,6.0,linear,55.850
0.725,7.0,0.5,6.0,linear,52.000
0.725,7.5,0.5,6.0,linear,48.750
0.725,8.0,0.5,6.0,linear,46.950
0.725,8.5,0.5,6.0,linear,45.250
0.725,9.0,0.5,6.0,linear,43.150
0.725,9.5,0.5,6.0,linear,41.900
0.750,0.0,0.5,6.0,linear,NAN
0.750,0.5,0.5,6.0,linear,NAN
0.750,1.0,0.5,6.0,linear,NAN
0.750,1.5,0.5,6.0,linear,NAN
0.750,10.0,0.5,6.0,linear,40.050
0.750,2.0,0.5,6.0,linear,NAN
0.750,2.5,0.5,6.0,linear,NAN
0.750,3.0,0.5,6.0,linear,NAN
0.750,3.5,0.5,6.0,linear,NAN
0.750,4.0,0.5,6.0,linear,206.600
0.750,4.5,0.5,6.0,linear,96.650
0.750,5.0,0.5,6.0,linear,76.000
0.750,5.5,0.5,6.0,linear,65.550
0.750,6.0,0.5,6.0,linear,59.000
0.750,6.5,0.5,6.0,linear,54.100
0.750,7.0,0.5,6.0,linear,50.450
0.750,7.5,0.5,6.0,linear,48.450
0.750,8.0,0.5,6.0,linear,46.150
0.750,8.5,0.5,6.0,linear,44.050
0.750,9.0,0.5,6.0,linear,42.650
0.750,9.5,0.5,6.0,linear,41.450
0.775,0.0,0.5,6.0,linear,NAN
0.775,0.5,0.5,6.0,linear,NAN
0.775,1.0,0.5,6.0,linear,NAN
0.775,1.5,0.5,6.0,linear,NAN
0.775,10.0,0.5,6.0,linear,39.750
0.775,2.0,0.5,6.0,linear,NAN
0.775,2.5,0.5,6.0,linear,NAN
0.775,3.0,0.5,6.0,linear,NAN
0.775,3.5,0.5,6.0,linear,NAN
0.775,4.0,0.5,6.0,linear,144.300
0.775,4.5,0.5,6.0,linear,89.150
0.775,5.0,0.5,6.0,linear,72.150
0.775,5.5,0.5,6.0,linear,63.450
0.775,6.0,0.5,6.0,linear,56.500
0.775,6.5,0.5,6.0,linear,52.950
0.775,7.0,0.5,6.0,linear,50.250
0.775,7.5,0.5,6.0,linear,47.400
0.775,8.0,0.5,6.0,linear,45.000
0.775,8.5,0.5,6.0,linear,44.350
0.775,9.0,0.5,6.0,linear,41.650
